# NODES,node_alias,x (m),Y (m)
n120,CAFO48,44.705272,-90.435282
n121,CAFO49,44.5239,-90.7487243
n122,CAFO50,45.0173606,-90.3556863
n123,CAFO51,42.7889219,-89.8135536
n124,CAFO52,44.6407302,-90.3771428
n125,CAFO53,43.2724383,-89.4219432
n126,CAFO54,43.2902031,-89.3247574
n127,CAFO55,43.2627427,-89.4217487
n128,CAFO56,43.150987,-89.072553
n129,CAFO57,43.222612,-89.144127
n130,CAFO58,42.873461,-89.522408
n131,CAFO59,43.133923,-89.176236
n132,CAFO60,43.219504,-89.484778
n133,CAFO61,43.1612969,-89.1700655
n134,CAFO62,43.1255927,-89.5511386
n135,CAFO63,43.214887,-89.479006
n136,CAFO64,43.127558,-89.543804
n137,CAFO65,43.574064,-88.450539
n138,CAFO66,43.2343009,-88.966056
n139,CAFO67,43.487582,-88.432642
n140,CAFO68,43.5123201,-88.7754202
n141,CAFO69,43.3984461,-88.6812317
n142,CAFO70,44.7366839,-87.5027549
n143,CAFO71,44.7726448,-91.9394584
n144,CAFO72,45.1470211,-91.6660948
n145,CAFO73,44.8923943,-91.6597361
n146,CAFO74,45.0086159,-91.7608218
n147,CAFO75,44.623206,-91.42537
n148,CAFO76,43.835418,-88.293544
n149,CAFO77,43.6921456,-88.3624164
n150,CAFO78,43.5652228,-88.3708131
n151,CAFO79,43.6610226,-88.5026096
n152,CAFO80,43.6688948,-88.8654615
n153,CAFO81,43.9068922,-88.2924711
n154,CAFO82,43.933457,-88.184374
n155,CAFO83,43.686573,-88.398594
n156,CAFO84,43.8181248,-88.3240483
n157,CAFO85,43.863818,-88.6171789
n158,CAFO86,43.867771,-88.717945
n159,CAFO87,43.862695,-88.521648
n160,CAFO88,43.6780951,-88.3554973
n161,CAFO89,43.726016,-88.398931
n162,CAFO90,42.9348801,-91.090403
n163,CAFO91,42.6796252,-90.5831146
n164,CAFO92,42.864588,-90.6961853
n165,CAFO93,43.0065857,-90.602897
n166,CAFO94,43.7013946,-89.051151
n167,CAFO95,43.7057395,-89.0510134
n168,CAFO96,43.634875,-89.004734
n169,CAFO97,43.9712488,-89.0123277
n170,CAFO98,42.7717123,-89.4233466
n171,CAFO99,42.6461277,-89.3870026
n172,CAFO100,42.736022,-89.663736
n173,CAFO101,42.6013315,-89.3917564
n174,CAFO102,44.2238278,-91.0851155
n175,CAFO103,44.3188887,-91.0649767
n176,CAFO104,44.4365416,-90.9365416
n177,CAFO105,44.1261241,-90.9966341
n178,CAFO106,44.4013418,-91.1053851
n179,CAFO107,42.973292,-88.775482
n180,CAFO108,42.868704,-88.868785
n181,CAFO109,43.1365455,-88.7221335
n182,CAFO110,43.1630746,-88.574255
n183,CAFO111,44.2212573,-89.9558671
n184,CAFO112,44.3693359,-87.549178
n185,CAFO113,44.6124135,-87.7630852
n186,CAFO114,44.663093,-87.588472
n187,CAFO115,44.3673969,-87.665803
n188,CAFO116,44.6183421,-87.5815229
n189,CAFO117,44.601945,-87.565269
n190,CAFO118,44.4798729,-87.5743726
n191,CAFO119,44.546913,-87.58098
n192,CAFO120,44.616287,-87.63395
n193,CAFO121,44.4997104,-87.5955881
n194,CAFO122,44.4417772,-87.6845513
n195,CAFO123,44.514428,-87.7320359
n196,CAFO124,44.597806,-87.731243
n197,CAFO125,44.5162262,-87.704175
n198,CAFO126,44.4091049,-87.539651
n199,CAFO127,42.6328185,-89.946068
n200,CAFO128,42.6533571,-90.2918458
n201,CAFO129,42.7853435,-90.2565166
n202,CAFO130,42.5688955,-89.8798448
n203,CAFO131,42.6533571,-90.2918458
n204,CAFO132,45.2609184,-89.1320129
n205,CAFO133,45.1957146,-89.0315902
n206,CAFO134,44.0371546,-87.894531
n207,CAFO135,44.115082,-87.879446
n208,CAFO136,44.115082,-87.879446
n209,CAFO137,44.090497,-87.870988
n210,CAFO138,43.9790083,-87.821797
n211,CAFO139,43.991883,-87.758921
n212,CAFO140,44.031183,-87.900083
n213,CAFO141,44.162424,-88.007005
n214,CAFO142,44.196495,-87.8321809
n215,CAFO143,43.9505879,-87.7465309
n216,CAFO144,43.925592,-87.779209
n217,CAFO145,43.962606,-87.9196319
n218,CAFO146,43.922701,-87.868523
n219,CAFO147,43.9791091,-87.8015843
n220,CAFO148,44.256712,-87.525264
n221,CAFO149,44.138624,-87.741411
n222,CAFO150,44.249487,-87.584866
n223,CAFO151,44.161356,-87.829195
n224,CAFO152,44.9580832,-89.767959
n225,CAFO153,44.899765,-90.168364
n226,CAFO154,44.901323,-89.958202
n227,CAFO155,44.834921,-90.262512
n228,CAFO156,44.8009709,-90.170057
n229,CAFO157,45.032389,-90.121009
n230,CAFO158,44.844099,-89.26493
n231,CAFO159,45.0330639,-90.04741
n232,CAFO160,44.940447,-89.2590262
n233,CAFO161,45.1188113,-89.4920215
n234,CAFO162,45.115722,-87.965177
n235,CAFO163,45.062663,-88.063297
n236,CAFO164,45.137756,-88.05566
n237,CAFO165,45.1610609,-88.019516
n238,CAFO166,44.0325488,-89.517387
n239,CAFO167,43.984089,-90.585257
n240,CAFO168,43.7449956,-90.7767576
n241,CAFO169,43.737048,-90.7938889
n242,CAFO170,44.8969219,-88.3022671
n243,CAFO171,44.9076949,-88.201485
n244,CAFO172,44.993569,-88.4431369
n245,CAFO173,44.839345,-88.200804
n246,CAFO174,44.9766739,-88.3567435
n247,CAFO175,44.470982,-88.460848
n248,CAFO176,44.5316139,-88.4204359
n249,CAFO177,44.2697279,-88.2143472
n250,CAFO178,44.395145,-88.23464
n251,CAFO179,44.5203883,-88.7369583
n252,CAFO180,44.388485,-88.314505
n253,CAFO181,44.3128202,-88.1992313
n254,CAFO182,44.486825,-88.7246212
n255,CAFO183,44.366372,-88.2587304
n256,CAFO184,44.369791,-88.229303
n257,CAFO185,43.422519,-87.908515
n258,CAFO186,43.427712,-87.985899
n259,CAFO187,43.4555405,-87.9417902
n260,CAFO188,44.6332077,-91.8728687
n261,CAFO189,44.6195702,-91.8729325
n262,CAFO190,44.679499,-92.26512
n263,CAFO191,45.2199897,-92.3756993
n264,CAFO192,45.7192179,-92.2301417
n265,CAFO193,45.3457176,-92.5296724
n266,CAFO194,44.5039979,-89.3145939
n267,CAFO195,45.639964,-90.3406313
n268,CAFO196,43.2721308,-90.3604491
n269,CAFO197,42.7377508,-89.3607854
n270,CAFO198,43.1863098,-90.0738836
n271,CAFO199,45.7477947,-91.1946534
n272,CAFO200,44.6441993,-88.3247075
n273,CAFO201,44.7807238,-88.291793
n274,CAFO202,44.7966007,-88.6467357
n275,CAFO203,44.9188885,-89.1435829
n276,CAFO204,44.704912,-88.4144984
n277,CAFO205,44.8608318,-89.0217189
n278,CAFO206,44.7411375,-88.3845159
n279,CAFO207,43.8593524,-88.0765788
n280,CAFO208,43.723915,-88.062776
n281,CAFO209,43.8047433,-87.8582159
n282,CAFO210,43.770841,-87.924136
n283,CAFO211,43.646808,-88.067302
n284,CAFO212,43.871617,-88.074069
n285,CAFO213,43.754161,-87.8415765
n286,CAFO214,43.6449512,-87.7997912
n287,CAFO215,43.571302,-87.9327198
n288,CAFO216,45.008952,-92.3882859
n289,CAFO217,44.9240029,-92.4658497
n290,CAFO218,45.0499939,-92.3750884
n291,CAFO219,44.9744646,-92.2759466
n292,CAFO220,44.1010454,-91.3519223
n293,CAFO221,44.4660295,-91.2396458
n294,CAFO222,44.567219,-91.3873166
n295,CAFO223,44.2527847,-91.473426
n296,CAFO224,43.4837071,-90.504433
n297,CAFO225,43.6043122,-91.0814919
n298,CAFO226,43.618779,-90.387911
n299,CAFO227,43.6230688,-90.6908274
n300,CAFO228,42.80393,-88.686927
n301,CAFO229,42.5916836,-88.4334301
n302,CAFO230,42.521046,-88.483013
n303,CAFO231,45.690121,-91.992615
n304,CAFO232,43.5399861,-88.3615248
n305,CAFO233,43.4990952,-88.0906797
n306,CAFO234,43.4171767,-88.3677973
n307,CAFO235,43.49071,-88.304271
n308,CAFO236,44.3593038,-88.7235989
n309,CAFO237,44.595906,-88.789993
n310,CAFO238,44.3015689,-88.9612695
n311,CAFO239,44.0413235,-88.9869984
n312,CAFO240,44.1701566,-88.9605491
n313,CAFO241,44.146298,-88.651705
n314,CAFO242,44.369922,-88.258894
n315,CAFO243,43.895023,-88.549789
n316,CAFO244,44.590176,-90.235843
n317,CAFO245,44.58509,-90.019386
n318,WWTP1,46.5924428,-90.8837982
n319,WWTP2,45.5060682,-91.738225
n320,WWTP3,44.9369054,-91.3929348
n321,WWTP4,42.9169462,-89.2178937
n322,WWTP5,43.1836046,-89.2137254
n323,WWTP6,43.0324123,-89.3843206
n324,WWTP7,43.4577692,-88.837329
n325,WWTP8,44.8341639,-87.3770419
n326,WWTP9,46.7207737,-92.1040796
n327,WWTP10,44.8755183,-91.9193422
n328,WWTP11,44.6802386,-91.1198755
n329,WWTP12,44.811349,-91.4984941
n330,WWTP13,43.6333219,-88.7295519
n331,WWTP14,43.77,-88.45
n332,WWTP15,42.73416,-90.4784621
n333,WWTP16,42.6011194,-89.6384532
n334,WWTP17,43.9680364,-88.9434476
n335,WWTP18,43.0055594,-88.8073273
n336,WWTP19,42.8336205,-88.7323272
n337,WWTP20,43.1947211,-88.7289918
n338,WWTP21,42.5124074,-88.1207351
n339,WWTP22,42.564798,-87.8304145
n340,WWTP23,44.6088884,-87.4325891
n341,WWTP24,43.8013556,-91.2395807
