#Node Number,Latitude,Longitude,Technology,Capacity
n318,46.5924428,-90.8837982,tB1,15000
n319,45.5060682,-91.738225,tB2,35000
n320,44.9369054,-91.3929348,tB4,100000
n322,43.1836046,-89.2137254,tB4,100000
n323,43.0324123,-89.3843206,tB4,100000
n324,43.4577692,-88.837329,tB2,35000
n325,44.8341639,-87.3770419,tB4,100000
n326,46.7207737,-92.1040796,tB1,15000
n327,44.8755183,-91.9193422,tB3,70000
n333,42.6011194,-89.6384532,tB3,70000
n337,43.1947211,-88.7289918,tB2,35000
n338,42.5124074,-88.1207351,tB3,70000
n341,43.8013556,-91.2395807,tB3,70000
n342,45.4710792,-89.7298594,tB1,15000
n345,44.09,-87.66,tB4,100000
n347,44.9591352,-89.6301221,tB3,70000
n349,42.9105722,-87.8606367,tB4,100000
n350,42.9712071,-87.9040571,tB4,100000
n351,43.9441328,-90.8129118,tB2,35000
n352,45.6366228,-89.4120753,tB2,35000
n353,44.2455449,-88.3530747,tB4,100000
n354,43.3197265,-87.9534226,tB4,100000
n356,45.2519072,-92.2712996,tB2,35000
n357,44.5235792,-89.574563,tB1,15000
n359,42.6964412,-87.8058402,tB4,100000
n360,43.3347053,-90.3867928,tB3,70000
n362,42.6442233,-88.9605365,tB4,100000
n364,43.7486054,-87.9770379,tB4,100000
n366,42.6330703,-88.6437138,tB2,35000
n369,43.4252776,-88.1834277,tB3,70000
n371,43.0373723,-88.3919026,tB4,100000
n373,43.0717382,-88.099845,tB4,100000
n374,43.015059,-88.1974148,tB4,100000
n376,44.3580348,-89.0859464,tB2,35000
n378,44.0795503,-88.5452622,tB4,100000
n379,44.3835763,-89.8173465,tB3,70000
