ampl.tab 1 2
NODE  lon_node lat_node  pmin  pmax
n1    -89.6   40.75   54.0   70.0
n2    -87.56  41.72   34.0   70.0
n3    -87.72  41.83   34.0   70.0
n4    -88.24  41.76   34.0   70.0
n5    -88.12  41.49   34.0   70.0
n6    -88.35  41.35   34.0   70.0
n7    -89.06  41.29   34.0   70.0
n8    -90.12  38.72   34.0   70.0
n9    -90.13  38.86   34.0   70.0
n10   -90.44  39.56   34.0   70.0
n11   -89.36  40.15   34.0   70.0
n12   -89.5   37.64   34.0   70.0
n13   -88.31  41.49   39.0   41.0
