Generator Name,bus of connection,Max Capacity (MW),Commit,Data File of Commit,Scenario of Commit,Heat Rate Base (MMBTU/hr),Heat Rate Inc Band 1 (BTU/kWh),Heat Rate Inc Band 2 (BTU/kWh),Heat Rate Inc Band 3 (BTU/kWh),Heat Rate Inc Band 4 (BTU/kWh),Heat Rate Inc Band 5 (BTU/kWh),Load Point Band 1 (MW),Load Point Band 2 (MW),Load Point Band 3 (MW),Load Point Band 4 (MW),Load Point Band 5 (MW),Escalator of Load Point (all bands),Max Ramp Down (MW/min),Max Ramp Up (MW/min),Min Down Time (h),Min Up Time (h),Min Stable Level (MW),Escalator of Min Stable Level,Start Cost ($),VO&M Charge ($/MWh),Rating,Escalator of rating,Committed in following market in PLEXOS
Solar 01,bus032,746.76,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 01,,
Solar 02,bus092,369.26,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 02,,
Solar 03,bus054,264.47,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 03,,
Solar 04,bus032,4.85,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 04,,
Solar 05,bus018,0.12,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 05,,
Solar 06,bus018,6.33,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 06,,
Solar 07,bus018,0.21,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 07,,
Solar 08,bus018,2.51,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 08,,
Solar 09,bus018,12.85,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 09,,
Solar 10,bus015,9.71,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 10,,
Solar 11,bus015,1.98,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 11,,
Solar 12,bus015,1.54,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 12,,
Solar 13,bus015,0.26,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 13,,
Solar 14,bus015,11.71,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 14,,
Solar 15,bus015,10.53,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 15,,
Solar 16,bus015,6.6,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 16,,
Solar 17,bus015,3.01,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 17,,
Solar 18,bus015,12.35,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 18,,
Solar 19,bus015,0.1,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 19,,
Solar 20,bus015,10.08,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 20,,
Solar 21,bus015,18.42,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 21,,
Solar 22,bus015,8.98,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 22,,
Solar 23,bus015,0.29,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 23,,
Solar 24,bus015,1.45,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 24,,
Solar 25,bus015,1.94,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 25,,
Solar 26,bus015,1.8,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 26,,
Solar 27,bus015,1.13,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 27,,
Solar 28,bus015,8.03,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 28,,
Solar 29,bus015,8.63,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 29,,
Solar 30,bus015,4.5,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 30,,
Solar 31,bus104,116.03,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 31,,
Solar 32,bus104,173.97,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 32,,
Solar 33,bus104,132,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 33,,
Solar 34,bus110,125,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 34,,
Solar 35,bus104,45,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 35,,
Solar 36,bus110,128.9,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 36,,
Solar 37,bus112,26,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 37,,
Solar 38,bus112,20,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 38,,
Solar 39,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 39,,
Solar 40,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 40,,
Solar 41,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 41,,
Solar 42,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 42,,
Solar 43,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 43,,
Solar 44,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 44,,
Solar 45,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 45,,
Solar 46,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 46,,
Solar 47,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 47,,
Solar 48,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 48,,
Solar 49,bus112,1.1,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 49,,
Solar 50,bus112,4.69,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 50,,
Solar 51,bus112,15.65,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 51,,
Solar 52,bus112,10.64,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 52,,
Solar 53,bus112,16.09,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 53,,
Solar 54,bus112,9.2,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 54,,
Solar 55,bus112,20.01,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 55,,
Solar 56,bus112,20.07,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 56,,
Solar 57,bus112,6.84,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 57,,
Solar 58,bus112,8.01,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 58,,
Solar 59,bus105,12.42,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 59,,
Solar 60,bus105,15.89,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 60,,
Solar 61,bus105,1.97,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 61,,
Solar 62,bus069,99.9,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 62,,
Solar 63,bus019,60,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 63,,
Solar 64,bus015,21,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 64,,
Solar 65,bus019,64.8,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 65,,
Solar 66,bus018,123.5,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 66,,
Solar 67,bus018,40,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 67,,
Solar 68,bus105,96,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 68,,
Solar 69,bus105,123,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 69,,
Solar 70,bus092,150,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 70,,
Solar 71,bus100,104.99,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 71,,
Solar 72,bus105,25.2,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 72,,
Solar 73,bus069,25,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 73,,
Solar 74,bus076,25,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 74,,
Solar 75,bus055,30,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 75,,
Wind 01,bus024,11.5,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 01,,
Wind 02,bus024,38,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 02,,
Wind 03,bus024,10,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 03,,
Wind 04,bus024,5,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 04,,
Wind 05,bus024,1.1,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 05,,
Wind 06,bus027,24.1,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 06,,
Wind 07,bus027,16.6,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 07,,
Wind 08,bus027,16.6,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 08,,
Wind 09,bus027,16.6,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 09,,
Wind 10,bus027,16.6,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 10,,
Wind 11,bus027,16.6,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 11,,
Wind 12,bus031,97.5,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 12,,
Wind 13,bus031,58.7,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 13,,
Wind 14,bus100,400,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 14,,
Wind 15,bus082,50,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 15,,
Wind 16,bus082,149.5,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 16,,
Wind 17,bus082,149.5,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 17,,
