Generator Name,bus of connection,Max Capacity (MW),Commit,Data File of Commit,Scenario of Commit,Heat Rate Base (MMBTU/hr),Heat Rate Inc Band 1 (BTU/kWh),Heat Rate Inc Band 2 (BTU/kWh),Heat Rate Inc Band 3 (BTU/kWh),Heat Rate Inc Band 4 (BTU/kWh),Heat Rate Inc Band 5 (BTU/kWh),Load Point Band 1 (MW),Load Point Band 2 (MW),Load Point Band 3 (MW),Load Point Band 4 (MW),Load Point Band 5 (MW),Escalator of Load Point (all bands),Max Ramp Down (MW/min),Max Ramp Up (MW/min),Min Down Time (h),Min Up Time (h),Min Stable Level (MW),Escalator of Min Stable Level,Start Cost ($),VO&M Charge ($/MWh),Rating,Escalator of rating,Committed in following market in PLEXOS
CT NG 01,bus006,25.4,-1,,,133.1,8978.49,9480.76,10308.93,,,17.78,22.86,25.4,,,CT NG 1,2.67,2.67,2,2,11.43,CT NG 1,861.65,0.7,25.4,CT NG 1,RT
CT NG 02,bus018,25.4,-1,,,132.96,8968.93,9470.68,10297.97,,,17.57,22.65,25.4,,,CT NG 2,2.67,2.67,2,2,11.43,CT NG 2,861.65,0.7,25.4,CT NG 2,RT
CT NG 03,bus004,24.75,-1,,,129.7,8978.49,9480.76,10308.93,,,17.32,22.27,24.75,,,CT NG 3,2.67,2.67,2,2,11.14,CT NG 3,839.6,0.7,24.75,CT NG 3,RT
CT NG 04,bus004,24.75,-1,,,129.7,8978.49,9480.76,10308.93,,,17.32,22.27,24.75,,,CT NG 4,2.67,2.67,2,2,11.14,CT NG 4,839.6,0.7,24.75,CT NG 4,RT
CT NG 05,bus004,49.9,-1,,,254.25,10178.88,11005.58,12879.82,,,24.95,39.92,49.9,,,CT NG 5,1.33,1.33,2,2,14.97,CT NG 5,1692.77,0.7,49.9,CT NG 5,RT
CT NG 06,bus006,49.9,-1,,,254.25,10178.88,11005.58,12879.82,,,24.95,39.92,49.9,,,CT NG 6,1.33,1.33,2,2,14.97,CT NG 6,1692.77,0.7,49.9,CT NG 6,RT
CT NG 07,bus006,49.9,-1,,,254.25,10178.88,11005.58,12879.82,,,24.95,39.92,49.9,,,CT NG 7,1.33,1.33,2,2,14.97,CT NG 7,1692.77,0.7,49.9,CT NG 7,RT
CT NG 08,bus008,50,-1,,,242.98,9973.58,11137.16,12586.88,,,25,40,50,,,,1.67,1.67,2,2,15,,1696.16,0.7,,,RT
CT NG 09,bus008,50,-1,,,256,8772.26,9263,10072.15,,,29.26,36.33,50,,,CT NG 9,1.97,1.97,1,1,25,CT NG 9,1696.16,0.7,50,CT NG 9,RT
CT NG 10,bus008,50,-1,,,256,8772.26,9263,10072.15,,,29.26,36.33,50,,,CT NG 10,1.97,1.97,1,1,25,CT NG 10,1696.16,0.7,50,CT NG 10,RT
CT NG 11,bus010,50,-1,,,256,8772.26,9263,10072.15,,,29.26,36.33,50,,,CT NG 11,1.97,1.97,1,1,25,CT NG 11,1696.16,0.7,50,CT NG 11,RT
CT NG 12,bus010,50,-1,,,256,8772.26,9263,10072.15,,,29.26,36.33,50,,,CT NG 12,1.97,1.97,1,1,25,CT NG 12,1696.16,0.7,50,CT NG 12,RT
CT NG 13,bus006,21.6,-1,,,104.97,9973.58,11137.16,12586.88,,,21.45,21.54,21.6,,,CT NG 13,0.67,0.67,1,1,21.3,CT NG 13,732.74,0.7,21.6,CT NG 13,RT
CT NG 14,bus006,21.6,-1,,,104.97,9973.58,11137.16,12586.88,,,21.45,21.54,21.6,,,CT NG 14,0.67,0.67,1,1,21.3,CT NG 14,732.74,0.7,21.6,CT NG 14,RT
CT NG 15,bus025,21.6,-1,,,104.97,9973.58,11137.16,12586.88,,,21.45,21.54,21.6,,,CT NG 15,0.67,0.67,1,1,21.3,CT NG 15,732.74,0.7,21.6,CT NG 15,RT
CT NG 16,bus025,49.9,-1,,,261.49,8978.49,9480.76,10308.93,,,34.93,44.91,49.9,,,CT NG 16,1.33,1.33,2,2,22.45,CT NG 16,1692.77,0.7,49.9,CT NG 16,RT
CT NG 17,bus004,6.9,-1,,,17.33,7651.79,,,,,6.9,,,,,CT NG 17,1,1,1,1,3.11,CT NG 17,234.07,0.7,6.9,CT NG 17,RT
CT NG 18,bus004,3.9,-1,,,9.79,7651.79,,,,,3.9,,,,,CT NG 18,1,1,1,1,1.75,CT NG 18,132.3,0.7,3.9,CT NG 18,RT
CT NG 19,bus018,3.9,-1,,,9.79,7651.79,,,,,3.9,,,,,CT NG 19,1,1,1,1,1.75,CT NG 19,132.3,0.7,3.9,CT NG 19,RT
