#DEMS,dem_node,dem_prod,dem_cap,dem_price
d1,n444,p4,2.92E+14,5000
d2,n444,p5,2.92E+14,2800
d3,n73,p1,182500000,0
d4,n74,p1,182500000,0
d5,n75,p1,182500000,0
d6,n76,p1,182500000,0
d7,n77,p1,182500000,0
d8,n78,p1,182500000,0
d9,n79,p1,182500000,0
d10,n80,p1,182500000,0
d11,n81,p1,182500000,0
d12,n82,p1,182500000,0
d13,n83,p1,182500000,0
d14,n84,p1,182500000,0
d15,n85,p1,182500000,0
d16,n86,p1,182500000,0
d17,n87,p1,182500000,0
d18,n88,p1,182500000,0
d19,n89,p1,182500000,0
d20,n90,p1,182500000,0
d21,n91,p1,182500000,0
d22,n92,p1,182500000,0
d23,n93,p1,182500000,0
d24,n94,p1,182500000,0
d25,n95,p1,182500000,0
d26,n96,p1,182500000,0
d27,n97,p1,182500000,0
d28,n98,p1,182500000,0
d29,n99,p1,182500000,0
d30,n100,p1,182500000,0
d31,n101,p1,182500000,0
d32,n102,p1,182500000,0
d33,n103,p1,182500000,0
d34,n104,p1,182500000,0
d35,n105,p1,182500000,0
d36,n106,p1,182500000,0
d37,n107,p1,182500000,0
d38,n108,p1,182500000,0
d39,n109,p1,182500000,0
d40,n110,p1,182500000,0
d41,n111,p1,182500000,0
d42,n112,p1,182500000,0
d43,n113,p1,182500000,0
d44,n114,p1,182500000,0
d45,n115,p1,182500000,0
d46,n116,p1,182500000,0
d47,n117,p1,182500000,0
d48,n118,p1,182500000,0
d49,n119,p1,182500000,0
d50,n120,p1,182500000,0
d51,n121,p1,182500000,0
d52,n122,p1,182500000,0
d53,n123,p1,182500000,0
d54,n124,p1,182500000,0
d55,n125,p1,182500000,0
d56,n126,p1,182500000,0
d57,n127,p1,182500000,0
d58,n128,p1,182500000,0
d59,n129,p1,182500000,0
d60,n130,p1,182500000,0
d61,n131,p1,182500000,0
d62,n132,p1,182500000,0
d63,n133,p1,182500000,0
d64,n134,p1,182500000,0
d65,n135,p1,182500000,0
d66,n136,p1,182500000,0
d67,n137,p1,182500000,0
d68,n138,p1,182500000,0
d69,n139,p1,182500000,0
d70,n140,p1,182500000,0
d71,n141,p1,182500000,0
d72,n142,p1,182500000,0
d73,n143,p1,182500000,0
d74,n144,p1,182500000,0
d75,n145,p1,182500000,0
d76,n146,p1,182500000,0
d77,n147,p1,182500000,0
d78,n148,p1,182500000,0
d79,n149,p1,182500000,0
d80,n150,p1,182500000,0
d81,n151,p1,182500000,0
d82,n152,p1,182500000,0
d83,n153,p1,182500000,0
d84,n154,p1,182500000,0
d85,n155,p1,182500000,0
d86,n156,p1,182500000,0
d87,n157,p1,182500000,0
d88,n158,p1,182500000,0
d89,n159,p1,182500000,0
d90,n160,p1,182500000,0
d91,n161,p1,182500000,0
d92,n162,p1,182500000,0
d93,n163,p1,182500000,0
d94,n164,p1,182500000,0
d95,n165,p1,182500000,0
d96,n166,p1,182500000,0
d97,n167,p1,182500000,0
d98,n168,p1,182500000,0
d99,n169,p1,182500000,0
d100,n170,p1,182500000,0
d101,n171,p1,182500000,0
d102,n172,p1,182500000,0
d103,n173,p1,182500000,0
d104,n174,p1,182500000,0
d105,n175,p1,182500000,0
d106,n176,p1,182500000,0
d107,n177,p1,182500000,0
d108,n178,p1,182500000,0
d109,n179,p1,182500000,0
d110,n180,p1,182500000,0
d111,n181,p1,182500000,0
d112,n182,p1,182500000,0
d113,n183,p1,182500000,0
d114,n184,p1,182500000,0
d115,n185,p1,182500000,0
d116,n186,p1,182500000,0
d117,n187,p1,182500000,0
d118,n188,p1,182500000,0
d119,n189,p1,182500000,0
d120,n190,p1,182500000,0
d121,n191,p1,182500000,0
d122,n192,p1,182500000,0
d123,n193,p1,182500000,0
d124,n194,p1,182500000,0
d125,n195,p1,182500000,0
d126,n196,p1,182500000,0
d127,n197,p1,182500000,0
d128,n198,p1,182500000,0
d129,n199,p1,182500000,0
d130,n200,p1,182500000,0
d131,n201,p1,182500000,0
d132,n202,p1,182500000,0
d133,n203,p1,182500000,0
d134,n204,p1,182500000,0
d135,n205,p1,182500000,0
d136,n206,p1,182500000,0
d137,n207,p1,182500000,0
d138,n208,p1,182500000,0
d139,n209,p1,182500000,0
d140,n210,p1,182500000,0
d141,n211,p1,182500000,0
d142,n212,p1,182500000,0
d143,n213,p1,182500000,0
d144,n214,p1,182500000,0
d145,n215,p1,182500000,0
d146,n216,p1,182500000,0
d147,n217,p1,182500000,0
d148,n218,p1,182500000,0
d149,n219,p1,182500000,0
d150,n220,p1,182500000,0
d151,n221,p1,182500000,0
d152,n222,p1,182500000,0
d153,n223,p1,182500000,0
d154,n224,p1,182500000,0
d155,n225,p1,182500000,0
d156,n226,p1,182500000,0
d157,n227,p1,182500000,0
d158,n228,p1,182500000,0
d159,n229,p1,182500000,0
d160,n230,p1,182500000,0
d161,n231,p1,182500000,0
d162,n232,p1,182500000,0
d163,n233,p1,182500000,0
d164,n234,p1,182500000,0
d165,n235,p1,182500000,0
d166,n236,p1,182500000,0
d167,n237,p1,182500000,0
d168,n238,p1,182500000,0
d169,n239,p1,182500000,0
d170,n240,p1,182500000,0
d171,n241,p1,182500000,0
d172,n242,p1,182500000,0
d173,n243,p1,182500000,0
d174,n244,p1,182500000,0
d175,n245,p1,182500000,0
d176,n246,p1,182500000,0
d177,n247,p1,182500000,0
d178,n248,p1,182500000,0
d179,n249,p1,182500000,0
d180,n250,p1,182500000,0
d181,n251,p1,182500000,0
d182,n252,p1,182500000,0
d183,n253,p1,182500000,0
d184,n254,p1,182500000,0
d185,n255,p1,182500000,0
d186,n256,p1,182500000,0
d187,n257,p1,182500000,0
d188,n258,p1,182500000,0
d189,n259,p1,182500000,0
d190,n260,p1,182500000,0
d191,n261,p1,182500000,0
d192,n262,p1,182500000,0
d193,n263,p1,182500000,0
d194,n264,p1,182500000,0
d195,n265,p1,182500000,0
d196,n266,p1,182500000,0
d197,n267,p1,182500000,0
d198,n268,p1,182500000,0
d199,n269,p1,182500000,0
d200,n270,p1,182500000,0
d201,n271,p1,182500000,0
d202,n272,p1,182500000,0
d203,n273,p1,182500000,0
d204,n274,p1,182500000,0
d205,n275,p1,182500000,0
d206,n276,p1,182500000,0
d207,n277,p1,182500000,0
d208,n278,p1,182500000,0
d209,n279,p1,182500000,0
d210,n280,p1,182500000,0
d211,n281,p1,182500000,0
d212,n282,p1,182500000,0
d213,n283,p1,182500000,0
d214,n284,p1,182500000,0
d215,n285,p1,182500000,0
d216,n286,p1,182500000,0
d217,n287,p1,182500000,0
d218,n288,p1,182500000,0
d219,n289,p1,182500000,0
d220,n290,p1,182500000,0
d221,n291,p1,182500000,0
d222,n292,p1,182500000,0
d223,n293,p1,182500000,0
d224,n294,p1,182500000,0
d225,n295,p1,182500000,0
d226,n296,p1,182500000,0
d227,n297,p1,182500000,0
d228,n298,p1,182500000,0
d229,n299,p1,182500000,0
d230,n300,p1,182500000,0
d231,n301,p1,182500000,0
d232,n302,p1,182500000,0
d233,n303,p1,182500000,0
d234,n304,p1,182500000,0
