Solving time,2019-8-12 10:35
Total social welfare (million $year),1.2799438049222289e8
Total revenue (million $/year),2.7982453368224334e6
Total supply cost (million $/year),-1.3351468061535001e8
Total transportation cost (million $/year),1.3580777854635543e6
Total technology cost (million $/year),4.722289037964688e6
Total supplier profit (million $/year),1.0714318553410067e8
Total customer profit (million $/year),2.3089373594643477e7
Total transportation provider profit (million $/year),-1.1759858236767445e-10
Total technology provider profit (million $/year),5.436504579847679e-10
Percentage of suppliers involved (%),100.0
Percentage of customers involved (%),6.976479945460744
Percentage of transportation provider involved (%),0.004389730201030631
Percentage of technology provider involved (%),67.36842105263158
Ratio of applied P and uptaken P by crops,1.0950733901894665


