Hour,1,2,3
1,4772.502301,1537.421196,2131.370238
2,4708.847803,1508.747417,2056.439147
3,4669.924989,1487.874787,2002.123775
4,4655.224927,1474.226913,1966.637558
5,4664.238689,1467.2274,1948.193933
6,4696.24604,1466.213628,1944.861239
7,4749.68153,1470.178065,1954.12743
8,4822.768407,1478.026955,1973.33536
9,4913.729916,1488.666537,1999.827886
10,5021.845824,1501.434191,2031.673347
11,5150.621974,1517.391846,2069.842019
12,5304.620733,1538.032564,2116.029662
13,5488.404464,1564.849412,2171.932036
14,5702.23681,1598.533089,2238.868769
15,5929.186524,1636.56484,2316.654957
16,6148.023639,1675.623543,2404.729567
17,6337.518187,1712.388078,2502.531562
18,6480.734609,1744.754428,2608.088122
19,6577.914982,1775.48699,2713.779279
20,6633.595792,1808.567267,2810.573279
21,6652.313527,1847.97676,2889.43837
22,6640.467245,1896.228125,2944.058303
23,6611.906292,1949.958638,2978.978855
24,6582.342589,2004.33673,3001.461309
25,6567.488055,2054.530832,3018.766947
26,6578.749157,2096.458152,3036.635766
27,6610.310556,2129.031007,3054.722615
28,6652.05146,2151.910493,3071.161058
29,6693.85108,2164.757705,3084.084657
30,6727.381327,2167.956001,3092.259183
31,6751.484926,2164.777792,3096.979237
32,6766.797304,2159.217755,3100.171629
33,6773.953889,2155.270565,3103.763165
34,6773.495177,2155.880555,3109.059825
35,6765.581939,2159.790694,3114.884266
36,6750.280012,2164.693609,3119.438315
37,6727.655236,2168.281927,3120.923799
38,6698.760194,2168.746282,3118.10783
39,6668.59445,2166.269336,3112.018666
40,6643.144314,2161.531759,3104.249848
41,6628.396096,2155.214219,3096.39492
42,6627.929917,2148.000719,3089.670306
43,6635.701142,2140.588594,3083.783956
44,6643.258949,2133.678512,3078.066702
45,6642.152516,2127.971142,3071.849377
46,6626.593004,2124.023778,3064.523627
47,6601.439514,2121.820219,3055.724364
48,6574.213129,2121.200889,3045.147311
49,6552.434933,2122.006211,3032.488196
50,6541.715812,2123.982586,3017.675832
51,6540.025852,2126.500316,3001.571392
52,6543.424941,2128.835677,2985.269134
53,6547.972966,2130.264947,2969.86332
54,6552.501918,2130.527111,2956.640135
