GenID,Generator Name,Fuel,Bus of Connection,Max Capacity (MW),Variable Cost ($/MWh),No-Load Cost ($/hr),Max Ramp Down (MW/min),Max Ramp Up (MW/min),Min Down Time (h),Min Up Time (h),Min Stable Level (MW),Start Cost ($),CO2 (kg/h),CO2 (kg/MWh),NOX (kg/MWh),NOX (kg/MWh)_1,SO2 (kg/MWh),SO2 (kg/MWh)_1,Must Commit?,Must Use?,DAUC Generator?
101,CTNG01,Natural gas,bus006,25.4,49.184,718.74,2.67,2.67,2,2,11.43,861.65,7124.031045,480.5637979,4.769478411,0.32173339,0.036223887,0.002443545,0,0,0
102,CTNG02,Natural gas,bus018,25.4,49.132,717.984,2.67,2.67,2,2,11.43,861.65,7116.537699,480.0521094,4.76446168,0.321390819,0.036185785,0.002440943,0,0,0
103,CTNG03,Natural gas,bus004,24.75,49.184,700.38,2.67,2.67,2,2,11.14,839.6,6942.049786,480.5637979,4.647643501,0.32173339,0.035298558,0.002443545,0,0,0
104,CTNG04,Natural gas,bus004,24.75,49.184,700.38,2.67,2.67,2,2,11.14,839.6,6942.049786,480.5637979,4.647643501,0.32173339,0.035298558,0.002443545,0,0,0
105,CTNG05,Natural gas,bus004,49.9,55.666,1372.95,1.33,1.33,2,2,14.97,1692.77,13608.45149,544.8133518,9.110742946,0.364747922,0.069195516,0.002770237,0,0,0
106,CTNG06,Natural gas,bus006,49.9,55.666,1372.95,1.33,1.33,2,2,14.97,1692.77,13608.45149,544.8133518,9.110742946,0.364747922,0.069195516,0.002770237,0,0,0
107,CTNG07,Natural gas,bus006,49.9,55.666,1372.95,1.33,1.33,2,2,14.97,1692.77,13608.45149,544.8133518,9.110742946,0.364747922,0.069195516,0.002770237,0,0,0
108,CTNG08,Natural gas,bus008,50.0,54.557,1312.092,1.67,1.67,2,2,15.0,1696.16,13005.23714,533.8248952,8.706896051,0.357391243,0.066128324,0.002714364,0,0,0
109,CTNG09,Natural gas,bus008,50.0,48.07,1382.4,1.97,1.97,1,1,25.0,1696.16,13702.11831,469.525564,9.173452091,0.314343386,0.069671788,0.002387418,0,0,0
110,CTNG10,Natural gas,bus008,50.0,48.07,1382.4,1.97,1.97,1,1,25.0,1696.16,13702.11831,469.525564,9.173452091,0.314343386,0.069671788,0.002387418,0,0,0
111,CTNG11,Natural gas,bus010,50.0,48.07,1382.4,1.97,1.97,1,1,25.0,1696.16,13702.11831,469.525564,9.173452091,0.314343386,0.069671788,0.002387418,0,0,0
112,CTNG12,Natural gas,bus010,50.0,48.07,1382.4,1.97,1.97,1,1,25.0,1696.16,13702.11831,469.525564,9.173452091,0.314343386,0.069671788,0.002387418,0,0,0
113,CTNG13,Natural gas,bus006,21.6,54.557,566.838,0.67,0.67,1,1,21.3,732.74,5618.403747,533.8248952,3.761473695,0.357391243,0.028568155,0.002714364,0,0,0
114,CTNG14,Natural gas,bus006,21.6,54.557,566.838,0.67,0.67,1,1,21.3,732.74,5618.403747,533.8248952,3.761473695,0.357391243,0.028568155,0.002714364,0,0,0
115,CTNG15,Natural gas,bus025,21.6,54.557,566.838,0.67,0.67,1,1,21.3,732.74,5618.403747,533.8248952,3.761473695,0.357391243,0.028568155,0.002714364,0,0,0
116,CTNG16,Natural gas,bus025,49.9,49.184,1412.046,1.33,1.33,2,2,22.45,1692.77,13995.96452,480.5637979,9.370179638,0.32173339,0.071165921,0.002443545,0,0,0
117,CTNG17,Natural gas,bus004,6.9,42.02,93.582,1.0,1.0,1,1,3.11,234.07,927.5691811,409.5536402,0.620999706,0.274192691,0.004716453,0.002082476,0,0,0
118,CTNG18,Natural gas,bus004,3.9,42.02,52.866,1.0,1.0,1,1,1.75,132.3,523.9989777,409.5536402,0.350812875,0.274192691,0.002664402,0.002082476,0,0,0
119,CTNG19,Natural gas,bus018,3.9,42.02,52.866,1.0,1.0,1,1,1.75,132.3,523.9989777,409.5536402,0.350812875,0.274192691,0.002664402,0.002082476,0,0,0
120,CTNG20,Natural gas,bus025,6.9,42.02,93.582,1.0,1.0,1,1,3.11,234.07,927.5691811,409.5536402,0.620999706,0.274192691,0.004716453,0.002082476,0,0,0
121,CTNG21,Natural gas,bus085,100.0,30.989,3251.826,6.266666667,6.266666667,1,1,20.0,3392.320068,32231.55714,300.2246523,21.57875435,0.20099786,0.163889274,0.001526566,0,0,0
122,CTNG22,Natural gas,bus091,100.0,30.99,3251.826,6.27,6.27,1,1,20.0,3392.32,32231.55714,300.2246523,21.57875435,0.20099786,0.163889274,0.001526566,0,0,0
123,CTNG23,Natural gas,bus091,100.0,30.99,3251.826,6.27,6.27,1,1,20.0,3392.32,32231.55714,300.2246523,21.57875435,0.20099786,0.163889274,0.001526566,0,0,0
124,CTNG24,Natural gas,bus100,100.0,30.99,3251.826,6.27,6.27,1,1,20.0,3392.32,32231.55714,300.2246523,21.57875435,0.20099786,0.163889274,0.001526566,0,0,0
125,CTNG25,Natural gas,bus100,100.0,30.99,3251.826,6.27,6.27,1,1,20.0,3392.32,32231.55714,300.2246523,21.57875435,0.20099786,0.163889274,0.001526566,0,0,0
126,CTNG26,Natural gas,bus100,100.0,30.99,3251.826,6.27,6.27,1,1,20.0,3392.32,32231.55714,300.2246523,21.57875435,0.20099786,0.163889274,0.001526566,0,0,0
127,CTNG27,Natural gas,bus107,1.05,42.02,14.256,1.0,1.0,1,1,0.0,35.62,141.3030951,409.5536402,0.094601225,0.274192691,0.00071849,0.002082476,0,0,0
128,CTNG28,Natural gas,bus100,44.02,57.198,1244.916,2.67,2.67,2,2,13.21,1493.3,12339.39983,559.9991526,8.261123613,0.374914687,0.062742711,0.002847453,0,0,0
129,CTNG29,Natural gas,bus107,0.6,42.02,8.154,1.0,1.0,1,1,0.0,20.35,80.82108849,409.5536402,0.054109034,0.274192691,0.000410955,0.002082476,0,0,0
130,CTNG30,Natural gas,bus090,18.0,56.924,451.494,2.67,2.67,2,2,5.4,610.62,4475.133251,557.2801385,2.996063786,0.37309433,0.022754915,0.002833628,0,0,0
131,CTNG31,Natural gas,bus107,1.54,42.02,20.898,1.0,1.0,1,1,0.0,52.24,207.1374917,409.5536402,0.138676795,0.274192691,0.001053241,0.002082476,0,0,0
132,CTNG32,Natural gas,bus107,1.6,42.02,21.708,1.0,1.0,1,1,0.0,54.28,215.1660766,409.5536402,0.144051865,0.274192691,0.001094065,0.002082476,0,0,0
133,CTNG33,Natural gas,bus107,1.3,42.02,17.604,1.0,1.0,1,1,0.0,44.1,174.4879129,409.5536402,0.116818179,0.274192691,0.000887227,0.002082476,0,0,0
134,CTNG34,Natural gas,bus100,100.0,30.711,2890.512,5.33,5.33,1,1,45.0,10919.03,28650.27301,298.4508702,19.18111498,0.199810328,0.145679354,0.001517547,0,0,0
135,CTNG35,Natural gas,bus100,100.0,30.711,2890.512,5.33,5.33,1,1,45.0,10919.03,28650.27301,298.4508702,19.18111498,0.199810328,0.145679354,0.001517547,0,0,0
136,CTNG36,Natural gas,bus100,100.0,30.711,2890.512,5.33,5.33,1,1,45.0,10919.03,28650.27301,298.4508702,19.18111498,0.199810328,0.145679354,0.001517547,0,0,0
137,CTNG37,Natural gas,bus107,1.3,42.02,17.604,1.0,1.0,1,1,0.0,44.1,174.4879129,409.5536402,0.116818179,0.274192691,0.000887227,0.002082476,0,0,0
138,CTNG38,Natural gas,bus090,9.5,42.02,128.844,1.0,1.0,1,1,0.0,322.27,1277.080246,409.5536402,0.854994402,0.274192691,0.006493628,0.002082476,0,0,0
139,CTNG39,Natural gas,bus112,1.3,42.02,17.604,1.0,1.0,1,1,0.0,44.1,174.4879129,409.5536402,0.116818179,0.274192691,0.000887227,0.002082476,0,0,0
140,CTNG40,Natural gas,bus112,3.1,42.02,42.012,1.0,1.0,1,1,0.93,105.16,416.4159394,409.5536402,0.278786942,0.274192691,0.002117369,0.002082476,0,0,0
141,CTNG41,Natural gas,bus040,54.0,41.734,942.192,0.8,0.8,8,8,16.2,1831.85,9338.850013,406.7184792,6.252280941,0.272294575,0.047485678,0.00206806,0,0,0
142,CTNG42,Natural gas,bus036,82.4,57.255,1328.832,1.33,1.33,2,2,19.78,2795.27,13171.16123,560.5638297,8.817980822,0.375292733,0.066972006,0.002850325,0,0,0
143,CTNG43,Natural gas,bus062,25.0,50.651,838.08,3.47,3.47,1,1,7.5,848.08,8306.909227,495.1089176,5.56140533,0.331471224,0.042238521,0.002517503,0,0,0
144,CTNG44,Natural gas,bus055,60.35,49.184,1707.804,1.33,1.33,2,2,27.16,2047.27,16927.46851,480.5637979,11.33279671,0.32173339,0.086071874,0.002443545,0,0,0
145,CTNG45,Natural gas,bus055,60.35,49.184,1707.804,1.33,1.33,2,2,27.16,2047.27,16927.46851,480.5637979,11.33279671,0.32173339,0.086071874,0.002443545,0,0,0
146,CTNG46,Natural gas,bus026,180.0,30.644,5853.276,5.33,5.33,2,2,81.0,19654.25,58016.6958,297.7871739,38.84168617,0.199365989,0.295000148,0.001514172,0,0,0
147,CTNG47,Natural gas,bus026,180.0,30.644,5853.276,5.33,5.33,2,2,81.0,19654.25,58016.6958,297.7871739,38.84168617,0.199365989,0.295000148,0.001514172,0,0,0
148,CTNG48,Natural gas,bus026,180.0,30.644,5853.276,5.33,5.33,2,2,81.0,19654.25,58016.6958,297.7871739,38.84168617,0.199365989,0.295000148,0.001514172,0,0,0
149,CTNG49,Natural gas,bus026,180.0,30.644,5853.276,5.33,5.33,2,2,81.0,19654.25,58016.6958,297.7871739,38.84168617,0.199365989,0.295000148,0.001514172,0,0,0
150,CTNG50,Natural gas,bus111,49.96,48.875,1407.672,2.67,2.67,2,2,22.48,5455.15,13952.61016,478.4918877,9.341154262,0.320346264,0.070945475,0.00243301,0,0,0
151,CTNG51,Natural gas,bus085,8.57,30.824,439.83,0.47,0.47,8,8,8.48,935.76,4359.521627,299.5732664,2.918662784,0.200561763,0.022167059,0.001523254,0,0,0
152,CTNG52,Natural gas,bus085,10.71,30.824,549.666,0.47,0.47,8,8,10.6,1169.43,5448.197746,299.5732664,3.64752222,0.200561763,0.0277027,0.001523254,0,0,0
153,CTNG53,Natural gas,bus085,10.71,30.824,549.666,0.47,0.47,8,8,10.6,1169.43,5448.197746,299.5732664,3.64752222,0.200561763,0.0277027,0.001523254,0,0,0
154,CTNG54,Natural gas,bus111,49.9,50.623,1418.688,2.67,2.67,2,2,22.45,5448.6,14061.79892,495.8245321,9.414255208,0.331950322,0.071500672,0.002521142,0,0,0
155,CTNG55,Natural gas,bus091,15.0,56.353,373.14,2.67,2.67,2,2,4.5,1637.85,3698.501467,552.6187421,2.476115389,0.369973565,0.01880594,0.002809926,0,0,0
156,CTNG56,Natural gas,bus111,46.9,48.694,1316.52,2.67,2.67,2,2,21.1,5121.02,13049.12674,476.7004428,8.736279765,0.319146907,0.066351492,0.002423901,0,0,0
157,CTNG66,Natural gas,bus111,45.0,49.084,1273.428,2.67,2.67,2,2,20.25,4913.56,12622.00602,480.5637979,8.450326063,0.32173339,0.064179692,0.002443545,0,0,0
158,CTNG67,Natural gas,bus111,45.0,49.084,1273.428,2.67,2.67,2,2,20.25,4913.56,12622.00602,480.5637979,8.450326063,0.32173339,0.064179692,0.002443545,0,0,0
159,CTNG68,Natural gas,bus111,46.7,49.018,1319.706,1.53,1.53,2,2,21.01,5099.19,13080.70584,479.912412,8.757421705,0.321297293,0.066512064,0.002440233,0,0,0
160,CTNG69,Natural gas,bus111,49.5,42.037,3179.25,2.67,2.67,2,2,22.27,5404.92,31512.19592,410.7188555,21.09714812,0.274972793,0.160231505,0.002088401,0,0,0
161,CTNG70,Natural gas,bus111,44.02,48.858,1239.84,2.67,2.67,2,2,19.81,4806.56,12289.08736,478.3206112,8.227439844,0.320231596,0.062486885,0.002432139,0,0,0
162,CTNG71,Natural gas,bus111,44.02,48.858,1239.84,2.67,2.67,2,2,19.81,4806.56,12289.08736,478.3206112,8.227439844,0.320231596,0.062486885,0.002432139,0,0,0
163,CTNG72,Natural gas,bus112,50.0,42.061,3211.38,5.33,5.33,2,2,22.5,5459.52,31830.66313,410.9516844,21.31035921,0.27512867,0.161850829,0.002089585,0,0,0
164,CTNG73,Natural gas,bus112,50.0,42.061,3211.38,5.33,5.33,2,2,22.5,5459.52,31830.66313,410.9516844,21.31035921,0.27512867,0.161850829,0.002089585,0,0,0
165,CTNG74,Natural gas,bus042,42.0,39.304,921.618,1.23,1.23,4,8,16.8,4585.99,9134.923955,383.6266632,6.115754173,0.2568348,0.046448766,0.001950644,0,0,0
166,CTNG75,Natural gas,bus049,50.4,57.226,812.43,1.33,1.33,1,1,21.91,5503.19,8052.670704,561.2708804,5.391194793,0.375766098,0.040945783,0.00285392,0,0,0
167,CTOil01,Oil,bus026,74.5,211.355,7602.63,1.83,1.83,2,2,22.35,2369.32,20214.74903,556.8969881,28.90167205,0.796213403,0.950799325,0.026193611,0,0,0
168,CTOil02,Oil,bus010,74.5,211.355,7602.63,1.83,1.83,2,2,22.35,2369.32,20214.74903,556.8969881,28.90167205,0.796213403,0.950799325,0.026193611,0,0,0
169,CTOil03,Oil,bus010,74.5,211.355,7602.63,1.83,1.83,2,2,22.35,2369.32,20214.74903,556.8969881,28.90167205,0.796213403,0.950799325,0.026193611,0,0,0
170,CTOil04,Oil,bus054,71.2,220.558,6945.54,1.33,1.33,2,2,21.36,2264.37,18467.60239,581.365975,26.40372072,0.831197495,0.868622403,0.027344508,0,0,0
171,CTOil05,Oil,bus054,71.2,220.558,6945.54,1.33,1.33,2,2,21.36,2264.37,18467.60239,581.365975,26.40372072,0.831197495,0.868622403,0.027344508,0,0,0
216,ICENG01,Natural gas,bus112,3.25,44.64,49.248,4.17,4.17,1,1,0.0,34.45,488.1379649,421.4536088,0.326804231,0.282159619,0.002482057,0.002142984,0,0,0
217,ICENG02,Natural gas,bus056,8.4,44.694,85.374,1.0,1.0,3,5,1.68,44.52,846.2128536,424.0655751,0.566532334,0.283908309,0.004302777,0.002156266,0,0,0
218,ICENG03,Natural gas,bus065,8.4,44.694,85.374,1.0,1.0,3,5,1.68,44.52,846.2128536,424.0655751,0.566532334,0.283908309,0.004302777,0.002156266,0,0,0
219,ICENG04,Natural gas,bus065,8.4,44.694,85.374,1.0,1.0,3,5,1.68,44.52,846.2128536,424.0655751,0.566532334,0.283908309,0.004302777,0.002156266,0,0,0
220,ICENG05,Natural gas,bus077,8.4,44.694,85.374,1.0,1.0,3,5,1.68,44.52,846.2128536,424.0655751,0.566532334,0.283908309,0.004302777,0.002156266,0,0,0
221,ICENG06,Natural gas,bus077,8.4,44.694,85.374,1.0,1.0,3,5,1.68,44.52,846.2128536,424.0655751,0.566532334,0.283908309,0.004302777,0.002156266,0,0,0
222,ICENG07,Natural gas,bus034,8.4,44.694,85.374,1.0,1.0,3,5,1.68,44.52,846.2128536,424.0655751,0.566532334,0.283908309,0.004302777,0.002156266,0,0,0
