Name IEEE 118,Zone,Generator Type
Solar 3,R2,DG-BTM
Solar 3,R2,DG-BTM
Solar 3,R2,DG-BTM
Solar 73,R2,SolarPV-Tracking
Solar 74,R2,SolarPV-Tracking
Solar 75,R2,SolarPV-Tracking
Wind 1,R1,WT-Onshore
Wind 2,R1,WT-Onshore
Solar 63,R1,SolarPV-Tracking
Solar 64,R1,SolarPV-Tracking
Solar 65,R1,SolarPV-Tracking
Solar 66,R1,SolarPV-Tracking
Solar 67,R1,SolarPV-Tracking
Solar 1,R1,DG-BTM
Wind 3,R1,WT-Onshore
Wind 4,R1,WT-Onshore
Wind 5,R1,WT-Onshore
Solar 4,R1,SolarPV-NonTracking
Solar 5,R1,SolarPV-NonTracking
Solar 6,R1,SolarPV-NonTracking
Solar 7,R1,SolarPV-NonTracking
Solar 8,R1,SolarPV-NonTracking
Solar 9,R1,SolarPV-NonTracking
Solar 10,R1,SolarPV-NonTracking
Solar 11,R1,SolarPV-NonTracking
Solar 12,R1,SolarPV-NonTracking
Solar 13,R1,SolarPV-NonTracking
Solar 14,R1,SolarPV-NonTracking
Solar 15,R1,SolarPV-NonTracking
Solar 16,R1,SolarPV-NonTracking
Solar 17,R1,SolarPV-NonTracking
Solar 18,R1,SolarPV-NonTracking
Solar 19,R1,SolarPV-NonTracking
Solar 20,R1,SolarPV-NonTracking
Solar 21,R1,SolarPV-NonTracking
Solar 22,R1,SolarPV-NonTracking
Solar 23,R1,SolarPV-NonTracking
Solar 24,R1,SolarPV-NonTracking
Solar 25,R1,SolarPV-NonTracking
Solar 26,R1,SolarPV-NonTracking
Solar 27,R1,SolarPV-NonTracking
Solar 28,R1,SolarPV-NonTracking
Solar 29,R1,SolarPV-NonTracking
Wind 6,R1,WT-Onshore
Wind 7,R1,WT-Onshore
Wind 8,R1,WT-Onshore
Wind 9,R1,WT-Onshore
Wind 10,R1,WT-Onshore
Wind 11,R1,WT-Onshore
Solar 30,R1,SolarPV-NonTracking
Wind 12,R1,WT-Onshore
Wind 13,R1,WT-Onshore
Solar 31,R3,SolarPV-NonTracking
Solar 32,R3,SolarPV-NonTracking
Solar 33,R3,SolarPV-NonTracking
Solar 2,R3,DG-BTM
Solar 2,R3,DG-BTM
Solar 2,R3,DG-BTM
Solar 2,R3,DG-BTM
Solar 2,R3,DG-BTM
Solar 2,R3,DG-BTM
Solar 2,R3,DG-BTM
Solar 34,R3,SolarPV-NonTracking
Solar 35,R3,SolarPV-NonTracking
Wind 14,R3,WT-Onshore
Solar 36,R3,SolarPV-NonTracking
Wind 15,R3,WT-Onshore
Solar 37,R3,SolarPV-NonTracking
Wind 16,R3,WT-Onshore
Wind 17,R3,WT-Onshore
Solar 38,R3,SolarPV-NonTracking
Solar 39,R3,SolarPV-NonTracking
Solar 40,R3,SolarPV-NonTracking
Solar 41,R3,SolarPV-NonTracking
Solar 42,R3,SolarPV-NonTracking
Solar 43,R3,SolarPV-NonTracking
Solar 44,R3,SolarPV-NonTracking
Solar 45,R3,SolarPV-NonTracking
Solar 46,R3,SolarPV-NonTracking
Solar 47,R3,SolarPV-NonTracking
Solar 48,R3,SolarPV-NonTracking
Solar 68,R3,SolarPV-Tracking
Solar 69,R3,SolarPV-Tracking
Solar 70,R3,SolarPV-Tracking
Solar 49,R3,SolarPV-NonTracking
Solar 50,R3,SolarPV-NonTracking
Solar 51,R3,SolarPV-NonTracking
Solar 52,R3,SolarPV-NonTracking
Solar 53,R3,SolarPV-NonTracking
Solar 54,R3,SolarPV-NonTracking
Solar 55,R3,SolarPV-NonTracking
Solar 56,R3,SolarPV-NonTracking
Solar 57,R3,SolarPV-NonTracking
Solar 58,R3,SolarPV-NonTracking
Solar 59,R3,SolarPV-NonTracking
Solar 60,R3,SolarPV-NonTracking
Solar 61,R3,SolarPV-NonTracking
Solar 71,R3,SolarPV-Tracking
Solar 72,R3,SolarPV-Tracking
Solar 76,R3,SolarThermal-CSP6
