GenID,Generator Name,Fuel,Bus of Connection,Max Capacity (MW),Variable Cost ($/MWh),No-Load Cost ($/hr),Max Ramp Down (MW/min),Max Ramp Up (MW/min),Min Down Time (h),Min Up Time (h),Min Stable Level (MW),Start Cost ($),CO2 (kg/h),CO2 (kg/MWh),NOX (kg/MWh),NOX (kg/MWh)_1,SO2 (kg/MWh),SO2 (kg/MWh)_1,Must Commit?,Must Use?,DAUC Generator?
236,Solar-bus015,Solar,bus015,144.04,0.0,0.0,144.04,144.04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
237,Solar-bus018,Solar,bus018,185.52,0.0,0.0,185.52,185.52,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
238,Solar-bus019,Solar,bus019,124.8,0.0,0.0,124.8,124.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
239,Solar-bus032,Solar,bus032,751.61,0.0,0.0,751.61,751.61,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
240,Solar-bus054,Solar,bus054,264.47,0.0,0.0,264.47,264.47,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
241,Solar-bus055,Solar,bus055,30.0,0.0,0.0,30.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
242,Solar-bus069,Solar,bus069,124.9,0.0,0.0,124.9,124.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
243,Solar-bus076,Solar,bus076,25.0,0.0,0.0,25.0,25.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
244,Solar-bus092,Solar,bus092,519.26,0.0,0.0,519.26,519.26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
245,Solar-bus100,Solar,bus100,104.99,0.0,0.0,104.99,104.99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
246,Solar-bus104,Solar,bus104,467.0,0.0,0.0,467.0,467.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
247,Solar-bus105,Solar,bus105,274.48,0.0,0.0,274.48,274.48,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
248,Solar-bus110,Solar,bus110,253.9,0.0,0.0,253.9,253.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
249,Solar-bus112,Solar,bus112,175.8,0.0,0.0,175.8,175.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
250,Wind01,Wind,bus024,11.5,0.0,0.0,11.5,11.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
251,Wind02,Wind,bus024,38.0,0.0,0.0,38.0,38.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
252,Wind03,Wind,bus024,10.0,0.0,0.0,10.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
253,Wind04,Wind,bus024,5.0,0.0,0.0,5.0,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
254,Wind05,Wind,bus024,1.1,0.0,0.0,1.1,1.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
255,Wind06,Wind,bus027,24.1,0.0,0.0,24.1,24.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
256,Wind07,Wind,bus027,16.6,0.0,0.0,16.6,16.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
257,Wind08,Wind,bus027,16.6,0.0,0.0,16.6,16.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
258,Wind09,Wind,bus027,16.6,0.0,0.0,16.6,16.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
259,Wind10,Wind,bus027,16.6,0.0,0.0,16.6,16.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
260,Wind11,Wind,bus027,16.6,0.0,0.0,16.6,16.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
261,Wind12,Wind,bus031,97.5,0.0,0.0,97.5,97.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
262,Wind13,Wind,bus031,58.7,0.0,0.0,58.7,58.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
263,Wind14,Wind,bus100,400.0,0.0,0.0,400.0,400.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
264,Wind15,Wind,bus082,50.0,0.0,0.0,50.0,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
265,Wind16,Wind,bus082,149.5,0.0,0.0,149.5,149.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
266,Wind17,Wind,bus082,149.5,0.0,0.0,149.5,149.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
