Bus Name,Region,Load Participation Factor
bus001,R1,0.047168669
bus002,R1,0.01849632
bus003,R1,0.036069133
bus004,R1,0.027748838
bus005,R1,0
bus006,R1,0.048092176
bus007,R1,0.017572813
bus008,R1,0
bus009,R1,0
bus010,R1,0
bus011,R1,0.064741478
bus012,R1,0.04346592
bus013,R1,0.031442874
bus014,R1,0.012946554
bus015,R1,0.083237801
bus016,R1,0.023122579
bus017,R1,0.009928445
bus018,R1,0.055488963
bus019,R1,0.041618899
bus020,R1,0.016649302
bus021,R1,0.012946554
bus022,R1,0.009252518
bus023,R1,0.006473277
bus024,R1,0
bus025,R1,0
bus026,R1,0
bus027,R1,0.057344694
bus028,R1,0.015725792
bus029,R1,0.022199069
bus030,R1,0
bus031,R1,0.039771881
bus032,R1,0.054565453
bus033,R2,0.013266139
bus034,R2,0.034023679
bus035,R2,0.01903001
bus036,R2,0.017878321
bus037,R2,0
bus038,R2,0
bus039,R2,0.014667721
bus040,R2,0.010749169
bus041,R2,0.020100209
bus042,R2,0.020100209
bus043,R2,0.009778481
bus044,R2,0.008691983
bus045,R2,0.028792192
bus046,R2,0.015210969
bus047,R2,0.018470462
bus048,R2,0.010864979
bus049,R2,0.047262655
bus050,R2,0.009235232
bus051,R2,0.009235232
bus052,R2,0.009778481
bus053,R2,0.012494725
bus054,R2,0.061387126
bus055,R2,0.034224681
bus056,R2,0.045632908
bus057,R2,0.006518986
bus058,R2,0.006518986
bus059,R2,0.150479947
bus060,R2,0.042373415
bus061,R2,0
bus062,R2,0.041830166
bus063,R2,0
bus064,R2,0
bus065,R2,0
bus066,R2,0.021186707
bus067,R2,0.015210969
bus068,R2,0
bus069,R2,0
bus070,R1,0.057501514
bus071,R1,0
bus072,R1,0
bus073,R1,0
bus074,R1,0.059243987
bus075,R1,0.04094805
bus076,R2,0.036940927
bus077,R2,0.033138183
bus078,R2,0.038570673
bus079,R2,0.021186707
bus080,R2,0.070622359
bus081,R2,0
bus082,R3,0.072616998
bus083,R3,0.026895186
bus084,R3,0.014792349
bus085,R3,0.032274222
bus086,R3,0.028239945
bus087,R3,0
bus088,R3,0.064548444
bus089,R3,0
bus090,R3,0.10489122
bus091,R3,0
bus092,R3,0.087409347
bus093,R3,0.016137108
bus094,R3,0.040342776
bus095,R3,0.05647989
bus096,R3,0.051100848
bus097,R2,0.008148735
bus098,R2,0.018470462
bus099,R2,0
bus100,R3,0.049756089
bus101,R3,0.029584704
bus102,R3,0.006723795
bus103,R3,0.030929463
bus104,R3,0.051100848
bus105,R3,0.041687535
bus106,R3,0.057824649
bus107,R3,0.037152408
bus108,R3,0.002689518
bus109,R3,0.010758072
bus110,R3,0.052445607
bus111,R3,0
bus112,R3,0.033618981
bus113,R1,0
bus114,R1,0.007396787
bus115,R1,0.020343338
bus116,R2,0
bus117,R1,0.01849632
bus118,R2,0.017927214
