GenID,Generator Name,Fuel,Bus of Connection,Max Capacity (MW),Variable Cost ($/MWh),No-Load Cost ($/hr),Max Ramp Down (MW/min),Max Ramp Up (MW/min),Min Down Time (h),Min Up Time (h),Min Stable Level (MW),Start Cost ($),CO2 (kg/h),CO2 (kg/MWh),NOX (kg/MWh),NOX (kg/MWh)_1,SO2 (kg/MWh),SO2 (kg/MWh)_1,Must Commit?,Must Use?,DAUC Generator?
1,Biomass01,Biomass,bus012,3.0,30.998,26.184,0.42,0.42,1,1,0.9,15.9,643.3300584,714.6801382,0.874118303,0.971064513,0.028652931,0.031830754,0,0,1
2,Biomass02,Biomass,bus012,3.0,30.998,26.184,0.42,0.42,1,1,0.9,15.9,643.3300584,714.6801382,0.874118303,0.971064513,0.028652931,0.031830754,0,0,1
3,Biomass03,Biomass,bus103,1.2,30.998,10.464,0.42,0.42,1,1,0.36,6.36,257.0961553,714.6801382,0.349326838,0.971064513,0.011450667,0.031830754,0,0,1
4,Biomass04,Biomass,bus103,1.2,30.998,10.464,0.42,0.42,1,1,0.36,6.36,257.0961553,714.6801382,0.349326838,0.971064513,0.011450667,0.031830754,0,0,1
5,Biomass05,Biomass,bus012,1.3,30.998,11.352,0.42,0.42,6,6,0.26,6.89,278.9139483,714.6801382,0.378971547,0.971064513,0.012422398,0.031830754,0,0,1
6,Biomass06,Biomass,bus012,1.3,30.998,11.352,0.42,0.42,6,6,0.26,6.89,278.9139483,714.6801382,0.378971547,0.971064513,0.012422398,0.031830754,0,0,1
7,Biomass07,Biomass,bus012,3.0,30.998,26.184,0.42,0.42,6,6,0.6,15.9,643.3300584,714.6801382,0.874118303,0.971064513,0.028652931,0.031830754,0,0,1
8,Biomass08,Biomass,bus012,1.35,30.998,11.784,0.42,0.42,6,6,0.27,7.16,289.5280098,714.6801382,0.393393297,0.971064513,0.012895132,0.031830754,0,0,1
9,Biomass09,Biomass,bus012,1.35,30.998,11.784,0.42,0.42,6,6,0.27,7.16,289.5280098,714.6801382,0.393393297,0.971064513,0.012895132,0.031830754,0,0,1
10,Biomass10,Biomass,bus012,1.35,30.998,11.784,0.42,0.42,6,6,0.27,7.16,289.5280098,714.6801382,0.393393297,0.971064513,0.012895132,0.031830754,0,0,1
11,Biomass11,Biomass,bus012,0.71,30.998,6.192,0.42,0.42,6,6,0.14,3.76,152.1348809,714.6801382,0.206711753,0.971064513,0.006775854,0.031830754,0,0,1
12,Biomass12,Biomass,bus012,0.71,30.998,6.192,0.42,0.42,6,6,0.14,3.76,152.1348809,714.6801382,0.206711753,0.971064513,0.006775854,0.031830754,0,0,1
13,Biomass13,Biomass,bus012,0.71,30.998,6.192,0.42,0.42,6,6,0.14,3.76,152.1348809,714.6801382,0.206711753,0.971064513,0.006775854,0.031830754,0,0,1
14,Biomass14,Biomass,bus012,1.57,30.998,13.704,0.42,0.42,6,6,0.31,8.32,336.7016163,714.6801382,0.457489964,0.971064513,0.014996172,0.031830754,0,0,1
15,Biomass15,Biomass,bus012,0.65,30.998,5.664,0.42,0.42,6,6,0.13,3.45,139.1621391,714.6801382,0.189085169,0.971064513,0.006198068,0.031830754,0,0,1
16,Biomass16,Biomass,bus012,0.65,30.998,5.664,0.42,0.42,6,6,0.13,3.45,139.1621391,714.6801382,0.189085169,0.971064513,0.006198068,0.031830754,0,0,1
17,Biomass17,Biomass,bus012,0.65,30.998,5.664,0.42,0.42,6,6,0.13,3.45,139.1621391,714.6801382,0.189085169,0.971064513,0.006198068,0.031830754,0,0,1
18,Biomass18,Biomass,bus012,0.65,30.998,5.664,0.42,0.42,6,6,0.13,3.45,139.1621391,714.6801382,0.189085169,0.971064513,0.006198068,0.031830754,0,0,1
19,Biomass19,Biomass,bus012,0.45,30.998,3.936,0.42,0.42,6,6,0.09,2.39,96.70589328,714.6801382,0.131398168,0.971064513,0.004307132,0.031830754,0,0,1
20,Biomass20,Biomass,bus012,0.45,30.998,3.936,0.42,0.42,6,6,0.09,2.39,96.70589328,714.6801382,0.131398168,0.971064513,0.004307132,0.031830754,0,0,1
21,Biomass21,Biomass,bus012,0.45,30.998,3.936,0.42,0.42,6,6,0.09,2.39,96.70589328,714.6801382,0.131398168,0.971064513,0.004307132,0.031830754,0,0,1
22,Biomass22,Biomass,bus012,0.45,30.998,3.936,0.42,0.42,6,6,0.09,2.39,96.70589328,714.6801382,0.131398168,0.971064513,0.004307132,0.031830754,0,0,1
