Line Name,Bus from,Bus to,Max Flow (MW),Min Flow (MW),Susceptance
line001,bus001,bus002,600,-600,-1001.001001
line002,bus001,bus003,600,-600,-2358.490566
line003,bus004,bus005,1700,-1700,-12531.32832
line004,bus003,bus005,600,-600,-925.9259259
line005,bus005,bus006,600,-600,-1851.851852
line006,bus006,bus007,600,-600,-4807.692308
line007,bus008,bus009,1700,-1700,-3278.688525
line008,bus008,bus005,1700,-1700,-3745.318352
line009,bus009,bus010,3500,-1700,-3105.590062
line010,bus004,bus011,600,-600,-1453.488372
line011,bus005,bus011,600,-600,-1466.27566
line012,bus011,bus012,600,-600,-5102.040816
line013,bus002,bus012,600,-600,-1623.376623
line014,bus003,bus012,600,-600,-625
line015,bus007,bus012,600,-600,-2941.176471
line016,bus011,bus013,600,-600,-1367.989056
line017,bus012,bus014,600,-600,-1414.427157
line018,bus013,bus015,600,-600,-409.1653028
line019,bus014,bus015,600,-600,-512.8205128
line020,bus012,bus016,600,-600,-1199.040767
line021,bus015,bus017,1700,-1700,-2288.329519
line022,bus016,bus017,600,-600,-555.247085
line023,bus017,bus018,600,-600,-1980.19802
line024,bus018,bus019,600,-600,-2028.397566
line025,bus019,bus020,600,-600,-854.7008547
line026,bus015,bus019,600,-600,-2538.071066
line027,bus020,bus021,600,-600,-1177.856302
line028,bus021,bus022,600,-600,-1030.927835
line029,bus022,bus023,600,-600,-628.9308176
line030,bus023,bus024,600,-600,-2032.520325
line031,bus023,bus025,1700,-1700,-1250
line032,bus026,bus025,1700,-1700,-2617.801047
line033,bus025,bus027,1700,-1700,-613.4969325
line034,bus027,bus028,600,-600,-1169.590643
line035,bus028,bus029,600,-600,-1060.445387
line036,bus030,bus017,1700,-1700,-2577.319588
line037,bus008,bus030,600,-600,-1984.126984
line038,bus026,bus030,1700,-1700,-1162.790698
line039,bus017,bus031,600,-600,-639.7952655
line040,bus029,bus031,600,-600,-3021.148036
line041,bus023,bus032,600,-600,-867.3026886
line042,bus031,bus032,600,-600,-1015.228426
line043,bus027,bus032,600,-600,-1324.503311
line044,bus015,bus033,600,-600,-803.8585209
line045,bus019,bus034,600,-600,-404.8582996
line046,bus035,bus036,600,-600,-9803.921569
line047,bus035,bus037,600,-600,-2012.072435
line048,bus033,bus037,600,-600,-704.2253521
line049,bus034,bus036,600,-600,-3731.343284
line050,bus034,bus037,1700,-1700,-10638.29787
line051,bus038,bus037,1700,-1700,-2666.666667
line052,bus037,bus039,600,-600,-943.3962264
line053,bus037,bus040,600,-600,-595.2380952
line054,bus030,bus038,600,-600,-1851.851852
line055,bus039,bus040,600,-600,-1652.892562
line056,bus040,bus041,600,-600,-2053.38809
line057,bus040,bus042,600,-600,-546.4480874
line058,bus041,bus042,600,-600,-740.7407407
line059,bus043,bus044,600,-600,-407.4979625
line060,bus034,bus043,600,-600,-594.8839976
line061,bus044,bus045,600,-600,-1109.877913
line062,bus045,bus046,600,-600,-737.4631268
line063,bus046,bus047,600,-600,-787.4015748
