Hour,1,2,3
1,5120.98177,1606.217549,2362.176653
2,5022.146508,1553.929593,2301.378888
3,4953.537853,1516.437759,2257.529438
4,4913.264552,1492.646715,2229.110299
5,4899.435358,1481.461129,2214.603465
6,4909.964734,1481.674314,2212.351506
7,4941.99,1491.634164,2220.13929
8,4992.454192,1509.577216,2235.612263
9,5058.300346,1533.740009,2256.415869
10,5137.442924,1562.915857,2280.892677
11,5231.68211,1598.125173,2310.173757
12,5343.789512,1640.945146,2346.087304
13,5476.536743,1692.952965,2390.461514
14,5630.557507,1754.7611,2443.686067
15,5797.933894,1823.123146,2500.396589
16,5968.610085,1893.827976,2553.790188
17,6132.530264,1962.664464,2597.063977
18,6281.34242,2026.124495,2626.10852
19,6413.509764,2083.511989,2647.588199
20,6529.199312,2134.833874,2670.860852
21,6628.578083,2180.097082,2705.284315
22,6711.847014,2218.946419,2757.279802
23,6779.342723,2249.578204,2821.52204
24,6831.435751,2269.826634,2889.749132
25,6868.496636,2277.525906,2953.699181
26,6892.045283,2271.886903,3006.669374
27,6908.199043,2257.62726,3048.193233
28,6924.224635,2240.841297,3079.363362
29,6947.388773,2227.623338,3101.272369
30,6982.572664,2222.450413,3115.075814
31,7025.115459,2223.330403,3122.181094
32,7067.970802,2226.6539,3124.058562
33,7104.092333,2228.811494,3122.17857
34,7128.291437,2227.034871,3118.006791
35,7142.810474,2221.920091,3112.990171
36,7151.749547,2214.904309,3108.570977
37,7159.208757,2207.424679,3106.191475
38,7167.755068,2200.823549,3106.903822
39,7173.82288,2196.064038,3110.199745
40,7172.313452,2194.014456,3115.180863
41,7158.128043,2195.543115,3120.948794
42,7128.146215,2200.945071,3126.479326
43,7087.16073,2208.222363,3130.244928
44,7041.942656,2214.803773,3130.59224
45,6999.263055,2218.118086,3125.8679
46,6964.477462,2216.385326,3115.33119
47,6937.27928,2210.990479,3101.891963
48,6915.94638,2204.10977,3089.372716
49,6898.756634,2197.919428,3081.595944
50,6883.602178,2193.786205,3080.819357
51,6866.8322,2189.838965,3083.041528
52,6844.410156,2183.397095,3082.696241
53,6812.299498,2171.779988,3074.217284
54,6770.384668,2154.066778,3054.886956
55,6734.234064,2136.375597,3033.381609
56,6723.337071,2126.584321,3021.226111
57,6757.183074,2132.570827,3029.945328
58,6847.646442,2159.028124,3066.365332
59,6976.141483,2197.909749,3118.517016
60,7116.467489,2237.98437,3169.73248
61,7242.423751,2268.020655,3203.343823
62,7333.815065,2279.227122,3207.850049
63,7394.468242,2272.571694,3192.417781
64,7434.215598,2251.462144,3171.380544
65,7462.889448,2219.306243,3159.071867
66,7487.424036,2180.307512,3166.250294
67,7503.161312,2141.852464,3189.374443
68,7502.545156,2112.123356,3221.327946
69,7478.019447,2099.302448,3254.994439
70,7424.929951,2108.58538,3283.993512
71,7350.229986,2133.221312,3304.888577
72,7263.774757,2163.472783,3314.979004
