#ag_node,latitude,longitude,contains:
beef01,43.1702003,-89.5497971
beef02,43.1697998,-89.5447998
beef03,43.1987991,-89.5868988
beef04,43.153801,-89.5569992
beef05,43.1529999,-89.5457001
beef06,43.1259995,-89.5635986
beef07,43.1259995,-89.574501
beef08,43.1226006,-89.5328979
beef10,43.1609993,-89.4651031
beef11,43.1478004,-89.4598999
beef12,43.1488991,-89.4518967
beef13,43.1666985,-89.4717026
beef14,43.1696014,-89.5307007
beef15,43.1780014,-89.4785995
beef16,43.2196999,-89.441803
beef17,43.2248001,-89.5178986
beef18,43.2354012,-89.5203018
beef19,43.1635017,-89.4608002
beef20,43.1959991,-89.4356003
beef21,43.1968002,-89.5034027
beef22,43.2714996,-89.3850021
beef23,43.273201,-89.382103
beef24,43.2653999,-89.4016037
beef25,43.277401,-89.3796005
beef26,43.2748985,-89.3725967
beef27,43.283699,-89.4039001
beef28,43.2056999,-89.3778992
beef29,43.2350006,-89.3892975
beef30,43.2285004,-89.3223038
beef31,43.2387009,-89.3114014
beef32,43.1954994,-89.3641968
beef33,43.2100983,-89.2738037
beef34,43.2444992,-89.3010025
beef35,43.2033997,-89.5521011
beef36,43.1949997,-89.5595016
beef37,43.1955986,-89.5334015
beef39,43.1903,-89.4852982
beef40,43.2108994,-89.5988007
beef41,43.2613983,-89.4776001
beef42,43.2691994,-89.4738998
beef43,43.2001991,-89.3651962
beef44,43.1855011,-89.3672028
beef45,43.2596016,-89.3796005
beef46,43.2755013,-89.3908997
beef47,43.2813988,-89.3864975
beef48,43.263401,-89.2769012
beef49,43.2681999,-89.2759018
beef50,43.2667999,-89.2598038
beef51,43.2683983,-89.2522964
beef52,43.2522011,-89.2656021
beef53,43.2472,-89.300499
beef54,43.2389984,-89.2916031
beef55,43.2113991,-89.2805023
dairy001,43.1817017,-89.5662003
dairy003,43.1832008,-89.5538025
dairy004,43.1701012,-89.5677032
dairy005,43.2052002,-89.5856018
dairy006,43.2067986,-89.5863037
dairy007,43.2117996,-89.5792007
dairy008,43.1534996,-89.5519028
dairy010,43.1389008,-89.5539017
dairy014,43.1242981,-89.5355988
dairy015,43.1228981,-89.5306015
dairy016,43.1263008,-89.5169983
dairy019,43.1399994,-89.5052032
dairy020,43.1408997,-89.5356979
dairy021,43.1486015,-89.5262985
dairy023,43.1519012,-89.5138016
dairy024,43.1489983,-89.4925003
dairy025,43.1484985,-89.4857025
dairy026,43.1576004,-89.4906998
dairy027,43.1371994,-89.4744034
dairy028,43.1633987,-89.4853973
dairy029,43.1635017,-89.490303
dairy030,43.1629982,-89.520401
dairy032,43.1660995,-89.5354004
dairy033,43.1707001,-89.5366974
dairy034,43.1744995,-89.5409012
