#node,latitude,longtitude
dairy035,43.1773987,-89.5261993
dairy036,43.1804008,-89.5279007
dairy037,43.1785011,-89.5472031
dairy038,43.1908989,-89.5143967
dairy039,43.1913986,-89.5082016
dairy040,43.1767998,-89.4833984
dairy041,43.1801987,-89.4834976
dairy042,43.2262993,-89.5859985
dairy043,43.2167015,-89.5633011
dairy046,43.2192993,-89.4787979
dairy048,43.2144012,-89.4497986
dairy049,43.2071991,-89.4354019
dairy050,43.2075005,-89.4244995
dairy052,43.225399,-89.4225998
dairy053,43.2275009,-89.4402008
dairy055,43.2290001,-89.4532013
dairy056,43.2265015,-89.4605026
dairy057,43.2305984,-89.4702988
dairy058,43.2271996,-89.4910965
dairy059,43.2233009,-89.4953003
dairy060,43.223999,-89.4994965
dairy061,43.2232018,-89.507103
dairy062,43.2308006,-89.5151978
dairy063,43.2331009,-89.5223999
dairy064,43.2299995,-89.5406036
dairy065,43.2237015,-89.5258026
dairy066,43.2249985,-89.547699
dairy067,43.2361984,-89.5394974
dairy069,43.2396011,-89.5149002
dairy070,43.2425995,-89.5072021
dairy071,43.2416,-89.4819031
dairy073,43.2389984,-89.4828033
dairy074,43.2363014,-89.4637985
dairy075,43.2495995,-89.4677963
dairy076,43.2509995,-89.4654007
dairy077,43.2639999,-89.4701004
dairy078,43.2668991,-89.4732971
dairy079,43.2714996,-89.461998
dairy080,43.2509995,-89.4849014
dairy081,43.1721001,-89.4093018
dairy082,43.2061996,-89.4910965
dairy083,43.1985016,-89.5158997
dairy084,43.2391014,-89.4505005
dairy085,43.2495995,-89.4573975
dairy087,43.2717018,-89.4229965
dairy088,43.2831001,-89.4509964
dairy090,43.2545013,-89.4505997
dairy091,43.2602005,-89.4029999
dairy092,43.2733994,-89.3263016
dairy093,43.2765999,-89.3035965
dairy094,43.2681999,-89.2957993
dairy095,43.2755013,-89.2863998
dairy096,43.2748985,-89.2835007
dairy097,43.2481003,-89.392601
dairy098,43.1949005,-89.3887024
dairy099,43.2190018,-89.4064026
dairy100,43.2200012,-89.4132004
dairy101,43.2327003,-89.4228973
dairy102,43.2249985,-89.4007034
dairy103,43.2388,-89.3188019
dairy104,43.2537994,-89.3167038
dairy106,43.2153015,-89.3125
dairy107,43.1935005,-89.3290024
dairy108,43.2235985,-89.2497025
dairy109,43.2246017,-89.2434998
dairy110,43.2246017,-89.2553024
dairy111,43.2318993,-89.2662964
dairy112,43.2172012,-89.2781982
dairy113,43.2223015,-89.2819977
dairy114,43.2263985,-89.2979965
dairy115,43.2550011,-89.2838974
dairy116,43.2389984,-89.2774963
dairy117,43.2490005,-89.2640991
dairy118,43.25,-89.254097
dairy119,43.2677994,-89.2730026
dairy120,43.1925011,-89.5501022
dairy121,43.196701,-89.530899
dairy122,43.1393013,-89.5586014
dairy123,43.1792984,-89.5178986
dairy124,43.178299,-89.4965973
dairy125,43.2064018,-89.5212021
dairy127,43.2169991,-89.5840988
dairy128,43.232399,-89.5010986
dairy129,43.214901,-89.3760986
dairy130,43.2369003,-89.3796005
dairy131,43.2700005,-89.346199
dairy132,43.2038994,-89.292099
dairy133,43.1282997,-89.4730988
dairy134,43.1525993,-89.471199
dairy135,43.1599007,-89.5000992
dairy136,43.1641006,-89.4777985
dairy137,43.169899,-89.4971008
dairy138,43.1864014,-89.5758972
dairy139,43.2069016,-89.5643997
dairy140,43.2470016,-89.5035019
dairy141,43.2565994,-89.441803
dairy142,43.2088013,-89.3968964
dairy143,43.2331009,-89.3785019
dairy144,43.277401,-89.3097992
dairy145,43.2498016,-89.2911987
dairy146,43.2346001,-89.3013
dairy147,43.2226982,-89.2975998
dairy148,43.2033997,-89.414299
land0001,43.292099,-89.3664017
land0002,43.2919998,-89.3732986
land0003,43.2904015,-89.3764038
land0004,43.2916985,-89.4048996
land0005,43.2911987,-89.4309998
land0006,43.2907982,-89.3802032
land0007,43.2902985,-89.4184036
land0008,43.2913017,-89.4115982
land0009,43.2868996,-89.4166031
land0010,43.2896996,-89.4441986
land0011,43.2799988,-89.2807007
land0012,43.2876015,-89.4396973
land0013,43.287899,-89.4681015
land0014,43.285099,-89.4132996
land0015,43.2869987,-89.4057007
land0016,43.2780991,-89.2769012
land0017,43.2872009,-89.4340973
land0018,43.2855988,-89.4447021
land0019,43.2798996,-89.3299026
land0020,43.2789993,-89.3071976
land0021,43.2773018,-89.2925034
land0022,43.2848015,-89.4397964
land0023,43.2840004,-89.4335022
land0024,43.2769012,-89.2825012
land0025,43.2779007,-89.2723007
land0026,43.2849998,-89.449501
land0027,43.2806015,-89.3811035
land0028,43.2775993,-89.2865982
land0029,43.2840996,-89.3751984
land0030,43.2789993,-89.3206024
land0031,43.2757988,-89.2949982
land0032,43.277401,-89.3126984
land0033,43.2817001,-89.4125977
land0034,43.2823982,-89.4428024
land0035,43.281601,-89.4339981
land0036,43.2742004,-89.2982025
land0037,43.2769012,-89.3651962
land0038,43.2756004,-89.3387985
land0039,43.2801018,-89.4055023
land0040,43.2775993,-89.3703003
land0041,43.2809982,-89.4542007
land0042,43.2815018,-89.4493027
land0043,43.2778015,-89.3803024
land0044,43.2775002,-89.3756027
land0045,43.2736015,-89.2701035
land0046,43.2756004,-89.3498001
land0047,43.2826996,-89.4632034
land0048,43.2839012,-89.457901
land0049,43.2727013,-89.2873993
land0050,43.2827988,-89.4670029
land0051,43.278801,-89.3880005
land0052,43.2834015,-89.471199
land0053,43.2860985,-89.3930969
land0054,43.2722015,-89.2968979
land0055,43.2710991,-89.2685013
land0056,43.2770996,-89.4029999
land0057,43.2750015,-89.3756027
land0058,43.269001,-89.2534027
land0059,43.277401,-89.4116974
land0060,43.2699013,-89.260498
land0061,43.2682991,-89.2587967
land0062,43.2767982,-89.4189987
land0063,43.2729988,-89.3402023
land0064,43.2682991,-89.2677002
land0065,43.2784996,-89.469902
land0066,43.2727013,-89.3457031
land0067,43.2687988,-89.2721024
land0068,43.2739983,-89.3705978
land0069,43.2750015,-89.3309021
land0070,43.2695999,-89.2835999
land0071,43.2719994,-89.2787018
land0072,43.2723999,-89.3507996
land0073,43.2691994,-89.2873001
land0074,43.2779999,-89.4580994
land0075,43.2779007,-89.4405975
land0076,43.2719002,-89.3554993
land0077,43.2667007,-89.2586975
land0078,43.2666016,-89.2662964
land0079,43.2771988,-89.4722977
land0080,43.2695999,-89.2997971
land0081,43.2743988,-89.4294968
land0082,43.2737999,-89.4055023
land0083,43.2738991,-89.393898
land0084,43.2728996,-89.3895035
land0085,43.2733994,-89.3841019
land0086,43.2723999,-89.3600998
land0087,43.2747002,-89.4490967
land0088,43.2742004,-89.424202
land0089,43.2697983,-89.3272018
land0090,43.2751007,-89.4567032
land0091,43.2723007,-89.3128967
land0092,43.2750015,-89.4747009
land0093,43.2658005,-89.2720032
land0094,43.2722015,-89.3768997
land0095,43.2729988,-89.4492035
land0096,43.2714996,-89.3671036
land0097,43.2653008,-89.3022995
land0098,43.2723007,-89.4296036
land0099,43.2657013,-89.2969971
land0100,43.2733002,-89.4151993
land0101,43.2683983,-89.3588028
land0102,43.2641983,-89.2602005
land0103,43.2731018,-89.4567032
land0104,43.2700005,-89.3880005
land0105,43.2671013,-89.3319016
land0106,43.2742996,-89.4667969
land0107,43.270401,-89.4095001
land0108,43.2650986,-89.2918015
land0109,43.2731018,-89.4748001
land0110,43.2733994,-89.4365005
land0111,43.2706985,-89.4240036
land0112,43.2703018,-89.4044037
land0113,43.2677002,-89.3749008
land0114,43.2653999,-89.310997
land0115,43.2621002,-89.2521973
land0116,43.2659988,-89.3544006
land0117,43.2652016,-89.3162003
land0118,43.262001,-89.2621994
land0119,43.266201,-89.3366013
land0120,43.2709007,-89.3985977
land0121,43.2711983,-89.4713974
land0122,43.269001,-89.4268036
land0123,43.2664986,-89.3408966
land0124,43.2643013,-89.2871017
land0125,43.270401,-89.4506989
land0126,43.2699013,-89.4336014
land0127,43.262001,-89.2966995
land0128,43.2655983,-89.3751984
land0129,43.2663994,-89.3675995
land0130,43.2683983,-89.3799973
land0131,43.2641983,-89.3268967
land0132,43.2613983,-89.2919998
land0133,43.2705002,-89.4765015
land0134,43.2667999,-89.3862
land0135,43.2654991,-89.3937988
land0136,43.2640991,-89.3608017
land0137,43.2647018,-89.3453979
land0138,43.2635994,-89.3049011
land0139,43.2605019,-89.3015976
land0140,43.2667007,-89.3967972
land0141,43.2617989,-89.3128967
land0142,43.2695007,-89.4664993
land0143,43.2667007,-89.4244995
land0144,43.2664986,-89.4045029
land0145,43.267601,-89.4542007
land0146,43.2666016,-89.4088974
land0147,43.2677002,-89.4150009
land0148,43.2649994,-89.4251022
land0149,43.2593994,-89.3128967
land0150,43.259201,-89.3041992
land0151,43.2612,-89.3298035
land0152,43.2584,-89.2770996
land0153,43.2661018,-89.4332962
land0154,43.2611008,-89.3366013
land0155,43.2696991,-89.4423981
land0156,43.2625008,-89.3742981
land0157,43.2667007,-89.4502029
land0158,43.2685013,-89.447998
land0159,43.2622986,-89.3524017
land0160,43.2582016,-89.3133011
land0161,43.2655983,-89.4540024
land0162,43.2621002,-89.3796997
land0163,43.2607002,-89.3404007
land0164,43.2681999,-89.4609985
land0165,43.269001,-89.4565964
land0166,43.263401,-89.414299
land0167,43.2601013,-89.3212967
land0168,43.2626991,-89.3841019
land0169,43.2574005,-89.3041
land0170,43.2659988,-89.4671021
land0171,43.257,-89.3128967
land0172,43.2568016,-89.2822037
land0173,43.2625999,-89.4104004
land0174,43.2626991,-89.4044037
land0175,43.2639999,-89.4644012
land0176,43.2615013,-89.3639984
land0177,43.2598991,-89.3751984
land0178,43.2608986,-89.4001007
land0179,43.2624016,-89.3929977
land0180,43.2571983,-89.2631989
land0181,43.2635002,-89.4541016
land0182,43.2624016,-89.4356003
land0183,43.2624016,-89.4244003
land0184,43.2603989,-89.4072037
land0185,43.2625008,-89.4188995
land0186,43.2578011,-89.3423004
land0187,43.2631989,-89.4488983
land0188,43.2630997,-89.4420013
land0189,43.2626991,-89.4656982
land0190,43.2583008,-89.3775024
land0191,43.2570992,-89.2738037
land0192,43.2627983,-89.459198
land0193,43.2601013,-89.4156036
land0194,43.2551994,-89.3065033
land0195,43.2617989,-89.2817993
land0196,43.2546005,-89.2863998
land0197,43.2551003,-89.3154984
land0198,43.2542992,-89.2918015
land0199,43.2593994,-89.3944016
land0200,43.2570992,-89.2955017
land0201,43.2585983,-89.3996964
land0202,43.260601,-89.4412003
land0203,43.2532997,-89.3063965
land0204,43.2515984,-89.2525024
land0205,43.2584,-89.4160995
land0206,43.2514,-89.2598038
land0207,43.2513008,-89.2630997
land0208,43.2565002,-89.3856964
land0209,43.2605019,-89.4312973
land0210,43.2514992,-89.3126984
land0211,43.2594986,-89.4487
land0212,43.2549019,-89.3594971
land0213,43.2613983,-89.4745026
land0214,43.259201,-89.4785004
land0215,43.2577019,-89.4441986
land0216,43.2538986,-89.3691025
land0217,43.2504997,-89.2960968
land0218,43.25,-89.288002
land0219,43.2477989,-89.2610016
land0220,43.2557983,-89.4300003
land0221,43.2476997,-89.2575989
land0222,43.2560005,-89.4349976
land0223,43.2508011,-89.319397
land0224,43.2569008,-89.4391022
land0225,43.2563019,-89.4257965
land0226,43.2560997,-89.4229965
land0227,43.257,-89.4763031
land0228,43.2491989,-89.3127975
land0229,43.2487984,-89.3015976
land0230,43.2472992,-89.2520981
land0231,43.2560997,-89.4541016
land0232,43.2550011,-89.3927002
land0233,43.2566986,-89.3731995
land0234,43.2494011,-89.2781982
land0235,43.2492981,-89.2819977
land0236,43.2500992,-89.3256989
land0237,43.2475014,-89.2907028
land0238,43.2452011,-89.2594986
land0239,43.2514992,-89.3908005
land0240,43.2540016,-89.399498
land0241,43.2500992,-89.3035965
land0242,43.2463989,-89.3013
land0243,43.2523003,-89.4324036
land0244,43.2487984,-89.3082962
land0245,43.2459984,-89.2950974
land0246,43.2522011,-89.4200974
land0247,43.2547989,-89.410202
land0248,43.2517014,-89.4180984
land0249,43.2468987,-89.3150024
land0250,43.2528992,-89.427597
land0251,43.2510986,-89.4319
land0252,43.2526016,-89.4391022
land0253,43.2494011,-89.4036026
land0254,43.2442017,-89.2776031
land0255,43.2523003,-89.4440002
land0256,43.2514,-89.4480972
land0257,43.2462006,-89.3210983
land0258,43.2523994,-89.4561996
land0259,43.2481003,-89.379303
land0260,43.2473984,-89.2698975
land0261,43.2574997,-89.4634018
land0262,43.2419014,-89.2798996
land0263,43.2436981,-89.2922974
land0264,43.2537003,-89.4764023
land0265,43.2513008,-89.4725037
land0266,43.2438011,-89.3108978
land0267,43.2435989,-89.3041
land0268,43.2428017,-89.2468033
land0269,43.2429008,-89.3209991
land0270,43.2476997,-89.4064026
land0271,43.2396011,-89.2511978
land0272,43.2406006,-89.2611008
land0273,43.2420998,-89.2963028
land0274,43.2403984,-89.2667007
land0275,43.2485008,-89.4452972
land0276,43.2482986,-89.4429016
land0277,43.2402,-89.2759018
land0278,43.2378006,-89.2497025
land0279,43.2482986,-89.4385986
land0280,43.2485008,-89.4562988
land0281,43.2470016,-89.3862
land0282,43.2401009,-89.2906036
land0283,43.2416992,-89.2848969
land0284,43.2448997,-89.3883972
land0285,43.2444,-89.3787003
land0286,43.2485008,-89.4658966
land0287,43.2403984,-89.3135986
land0288,43.2453003,-89.399498
land0289,43.2445984,-89.3693008
land0290,43.2400017,-89.3012009
land0291,43.2363014,-89.2397003
land0292,43.2398987,-89.3066025
land0293,43.2397003,-89.3044968
land0294,43.2398987,-89.3097992
land0295,43.2421989,-89.3843994
land0296,43.2419014,-89.3164978
land0297,43.236599,-89.2605972
land0298,43.2368011,-89.2565002
land0299,43.2356987,-89.2481995
land0300,43.2401009,-89.3208008
land0301,43.2456017,-89.4565964
land0302,43.2439995,-89.4188004
land0303,43.2475014,-89.4838028
land0304,43.2355003,-89.2520981
land0305,43.2444,-89.4337006
land0306,43.2414017,-89.3756027
land0307,43.2405014,-89.3693008
land0308,43.2462006,-89.4955978
land0309,43.2440987,-89.4525986
land0310,43.2445984,-89.4431
land0311,43.2447014,-89.4629974
land0312,43.2476997,-89.4753036
land0313,43.2448997,-89.4655991
land0314,43.2448006,-89.4703979
land0315,43.2447014,-89.4677963
land0316,43.2462006,-89.5073013
land0317,43.2457008,-89.4481964
land0318,43.2363014,-89.3106995
land0319,43.2330017,-89.2426987
land0320,43.2456017,-89.5030975
land0321,43.2447014,-89.4834976
land0322,43.2363014,-89.3132019
land0323,43.2406998,-89.4047012
land0324,43.2416,-89.3975983
land0325,43.2364998,-89.3209991
land0326,43.2364006,-89.3264999
land0327,43.2356987,-89.2819977
land0328,43.2428017,-89.3925018
land0329,43.2444,-89.4981003
land0330,43.243,-89.4588013
land0331,43.2372017,-89.3515015
land0332,43.2439003,-89.5078964
land0333,43.2445984,-89.5130005
land0334,43.2408981,-89.4347
land0335,43.2397995,-89.4132996
land0336,43.2387009,-89.3785019
land0337,43.2302017,-89.2387009
land0338,43.2372017,-89.3727036
land0339,43.2360001,-89.3403015
land0340,43.2344017,-89.2863998
land0341,43.2433014,-89.5025024
land0342,43.2420006,-89.4852982
land0343,43.2347984,-89.2912979
land0344,43.2411995,-89.4626999
land0345,43.2411003,-89.4558029
land0346,43.2388,-89.3862
land0347,43.2439003,-89.478302
land0348,43.229599,-89.2434998
land0349,43.2374001,-89.3925018
land0350,43.2346992,-89.3507004
land0351,43.2336998,-89.3063965
land0352,43.2346001,-89.2963028
land0353,43.2403984,-89.4410019
land0354,43.2366982,-89.3993988
land0355,43.2327003,-89.3108978
land0356,43.2341995,-89.3163986
land0357,43.2307014,-89.2528
land0358,43.2400017,-89.4845963
land0359,43.2394981,-89.4477997
land0360,43.2358017,-89.3587036
land0361,43.2328987,-89.3214035
land0362,43.2344017,-89.3019028
land0363,43.232399,-89.2608032
land0364,43.2290993,-89.2471008
land0365,43.2420998,-89.5310974
land0366,43.2368011,-89.3665009
land0367,43.2384987,-89.4550018
land0368,43.2386017,-89.4172974
land0369,43.2373009,-89.4263992
land0370,43.2388,-89.4860992
land0371,43.2373009,-89.4339981
land0372,43.2411995,-89.5158005
land0373,43.2326012,-89.3368988
land0374,43.2299995,-89.3060989
land0375,43.2416,-89.5383987
land0376,43.2293015,-89.285202
land0377,43.226799,-89.2444992
land0378,43.2369003,-89.4420013
land0379,43.2318993,-89.3529968
land0380,43.2290001,-89.2885971
land0381,43.2294006,-89.293602
land0382,43.2394981,-89.4712982
land0383,43.2397003,-89.4686966
land0384,43.2383003,-89.4648972
land0385,43.2378006,-89.478302
land0386,43.2401009,-89.4745026
land0387,43.239399,-89.5035019
land0388,43.2341003,-89.4240036
land0389,43.2341003,-89.418602
land0390,43.2328987,-89.2748032
land0391,43.2372017,-89.4835968
land0392,43.2290993,-89.3181992
land0393,43.2262993,-89.2517014
land0394,43.2396011,-89.4924011
land0395,43.2258987,-89.259201
land0396,43.2384987,-89.4990005
land0397,43.2359009,-89.4585037
land0398,43.2398987,-89.5338974
land0399,43.2383995,-89.5183029
land0400,43.2276001,-89.2795029
land0401,43.2266006,-89.2770004
land0402,43.233799,-89.4381027
land0403,43.2276993,-89.2820969
land0404,43.2392998,-89.5112991
land0405,43.2316017,-89.4092026
land0406,43.2310982,-89.4040985
land0407,43.2336998,-89.4497986
land0408,43.2330017,-89.4132996
land0409,43.2262993,-89.3162003
land0410,43.2388992,-89.5231018
land0411,43.2277985,-89.3097
land0412,43.2388,-89.5271988
land0413,43.2370987,-89.5317001
land0414,43.2312012,-89.3757019
land0415,43.2347984,-89.5137024
land0416,43.2341995,-89.4890976
land0417,43.2248993,-89.3010025
land0418,43.2344017,-89.5005035
land0419,43.2336998,-89.4745026
land0420,43.2336998,-89.4664993
land0421,43.2321014,-89.3976974
land0422,43.2261009,-89.3134995
land0423,43.2299004,-89.4133987
land0424,43.2252998,-89.3205032
land0425,43.2252998,-89.2910004
land0426,43.2342987,-89.5080032
land0427,43.2228012,-89.2956009
land0428,43.2341995,-89.5236969
land0429,43.2324982,-89.4309998
land0430,43.2291985,-89.3287964
land0431,43.2262001,-89.3688965
land0432,43.2303009,-89.424202
land0433,43.2218018,-89.2479019
land0434,43.2220993,-89.2871017
land0435,43.2302017,-89.4468994
land0436,43.2316017,-89.5080032
land0437,43.2270012,-89.403801
land0438,43.2302017,-89.4580994
land0439,43.2263985,-89.3636017
land0440,43.2327995,-89.4824982
land0441,43.229599,-89.4384995
land0442,43.2271996,-89.4190979
land0443,43.2271996,-89.4149017
land0444,43.2201996,-89.2429962
land0445,43.2324982,-89.479599
land0446,43.2302017,-89.4751968
land0447,43.2316017,-89.4856033
land0448,43.2220001,-89.3307037
land0449,43.2216988,-89.3186035
land0450,43.2201004,-89.2524033
land0451,43.2274017,-89.3563004
land0452,43.2209015,-89.2594986
land0453,43.2330017,-89.5326004
land0454,43.2307014,-89.4988022
land0455,43.2243996,-89.3604965
land0456,43.2314987,-89.4926987
land0457,43.2249985,-89.2680969
land0458,43.2212982,-89.3130035
land0459,43.2207985,-89.302597
land0460,43.2327995,-89.5391998
land0461,43.2322998,-89.5365982
land0462,43.2275009,-89.4757996
land0463,43.2280006,-89.4421997
land0464,43.2195015,-89.2758026
land0465,43.2257004,-89.4122009
land0466,43.2229004,-89.3683014
land0467,43.2207985,-89.2791977
land0468,43.226799,-89.4521027
land0469,43.2206001,-89.3079987
land0470,43.2265015,-89.4567032
land0471,43.2247009,-89.3770981
land0472,43.2275009,-89.4937973
land0473,43.2285995,-89.388298
land0474,43.2190018,-89.2884979
land0475,43.2193985,-89.2950974
land0476,43.2289009,-89.5384979
land0477,43.2294006,-89.5327988
land0478,43.2229004,-89.3948975
land0479,43.2173996,-89.3019028
land0480,43.2299995,-89.552002
land0481,43.2296982,-89.5431976
land0482,43.2257004,-89.4761963
land0483,43.223999,-89.4400024
land0484,43.2154999,-89.2444992
land0485,43.226799,-89.4820023
land0486,43.2159004,-89.256897
land0487,43.226799,-89.4882965
land0488,43.2265015,-89.4848022
land0489,43.2176018,-89.314003
land0490,43.2126999,-89.228302
land0491,43.2232018,-89.4237976
land0492,43.2226982,-89.4060974
land0493,43.2192993,-89.3208008
land0494,43.2160988,-89.2621002
land0495,43.226799,-89.5084
land0496,43.225399,-89.4299011
land0497,43.2220993,-89.4190979
land0498,43.2201996,-89.389801
land0499,43.2192001,-89.3271027
land0500,43.2274017,-89.5384979
land0501,43.2142982,-89.2401962
land0502,43.2260017,-89.4961014
land0503,43.2221985,-89.4288025
land0504,43.2198982,-89.3843994
land0505,43.2150002,-89.2509995
land0506,43.2126007,-89.2128983
land0507,43.2285004,-89.5028992
land0508,43.2200012,-89.4040985
land0509,43.2150002,-89.2958984
land0510,43.2145004,-89.2665024
land0511,43.2235985,-89.475502
land0512,43.2257996,-89.4476013
land0513,43.2218018,-89.441597
land0514,43.2145996,-89.2838974
land0515,43.2289009,-89.512001
land0516,43.2224007,-89.4478989
land0517,43.2184982,-89.3587036
land0518,43.2141991,-89.2792969
land0519,43.2106018,-89.2282028
land0520,43.2230988,-89.456398
land0521,43.2142982,-89.2907028
land0522,43.2125015,-89.2470016
land0523,43.2258987,-89.5414963
land0524,43.2228012,-89.4641037
land0525,43.219799,-89.4238968
land0526,43.2117996,-89.2555008
land0527,43.2274017,-89.4665985
land0528,43.2261009,-89.5268021
land0529,43.2286987,-89.5212021
land0530,43.2148018,-89.3262024
land0531,43.2216988,-89.4792023
land0532,43.2139015,-89.2757034
land0533,43.2229996,-89.4936981
land0534,43.2112007,-89.2675018
land0535,43.2112007,-89.2595978
land0536,43.2112999,-89.2791977
land0537,43.2111015,-89.2623978
land0538,43.217701,-89.4040985
land0539,43.2184982,-89.3731995
land0540,43.2190018,-89.4285965
land0541,43.2224007,-89.5080032
land0542,43.2224998,-89.501503
land0543,43.219101,-89.4383011
land0544,43.2182999,-89.3965988
land0545,43.2190018,-89.4433975
land0546,43.2156982,-89.3694
land0547,43.2150002,-89.3636017
land0548,43.207901,-89.2133026
land0549,43.2221985,-89.517601
land0550,43.2198982,-89.4745026
land0551,43.2167015,-89.3868027
land0552,43.207901,-89.2232971
land0553,43.207901,-89.2188034
land0554,43.2188988,-89.447403
land0555,43.218399,-89.4330978
land0556,43.2248993,-89.5289993
land0557,43.2145004,-89.3564987
land0558,43.2080002,-89.2511978
land0559,43.2248001,-89.5783005
land0560,43.2186012,-89.4156036
land0561,43.2150993,-89.3992004
land0562,43.2233009,-89.5388031
land0563,43.2200012,-89.4990005
land0564,43.2128983,-89.3167038
land0565,43.2075005,-89.2421036
land0566,43.2056007,-89.2226028
land0567,43.2229004,-89.5479965
land0568,43.2158012,-89.4304962
land0569,43.2229004,-89.5568008
land0570,43.2113991,-89.3261032
land0571,43.2196999,-89.4936981
land0572,43.2195015,-89.490303
land0573,43.2182999,-89.4590988
land0574,43.2158012,-89.4134979
land0575,43.2139015,-89.393898
land0576,43.213501,-89.3742981
land0577,43.219799,-89.4872971
land0578,43.2118988,-89.3203964
land0579,43.2230988,-89.5734024
land0580,43.2200012,-89.5328979
land0581,43.2043991,-89.2129974
land0582,43.2159996,-89.4509964
land0583,43.2127991,-89.3988037
land0584,43.2075996,-89.2727966
land0585,43.2117004,-89.3103027
land0586,43.2047005,-89.2194977
land0587,43.2172012,-89.4750977
land0588,43.2182007,-89.4533997
land0589,43.2226982,-89.5856018
land0590,43.2216988,-89.5656967
land0591,43.2195015,-89.5445023
land0592,43.2103004,-89.3655014
land0593,43.2109985,-89.3604965
land0594,43.209301,-89.3146973
land0595,43.2170982,-89.4664001
land0596,43.2162018,-89.4937973
land0597,43.2058983,-89.3105011
land0598,43.2207985,-89.580101
land0599,43.207901,-89.3305969
land0600,43.2145996,-89.4906006
land0601,43.2094002,-89.4042969
land0602,43.2108994,-89.3905029
land0603,43.2047005,-89.2986984
land0604,43.2043991,-89.2906036
land0605,43.2182999,-89.5719986
land0606,43.2136002,-89.4576035
land0607,43.2169991,-89.5475006
land0608,43.2089005,-89.3991013
land0609,43.2127991,-89.4059982
land0610,43.2170982,-89.5360031
land0611,43.2112999,-89.4558029
land0612,43.2120018,-89.4690018
land0613,43.2030983,-89.3013
land0614,43.2132988,-89.4826965
land0615,43.2075005,-89.3905029
land0616,43.2158012,-89.5579987
land0617,43.2069016,-89.3988037
land0618,43.2043991,-89.2406006
land0619,43.2117996,-89.485199
land0620,43.2075005,-89.4045029
land0621,43.2019005,-89.2973022
land0622,43.2117996,-89.4932022
land0623,43.2034988,-89.2717972
land0624,43.213501,-89.4421997
land0625,43.2080994,-89.4123993
land0626,43.210701,-89.418602
land0627,43.2148018,-89.5439987
land0628,43.203701,-89.3283005
land0629,43.2155991,-89.5753021
land0630,43.2150002,-89.572197
land0631,43.213501,-89.5474014
land0632,43.2118988,-89.5091019
land0633,43.2108002,-89.4301987
land0634,43.2048988,-89.3648987
land0635,43.2041016,-89.3562012
land0636,43.2114983,-89.4890976
land0637,43.2103996,-89.4654999
land0638,43.2164993,-89.5824966
land0639,43.2145004,-89.5796967
land0640,43.2159004,-89.5777969
land0641,43.2128983,-89.5003967
land0642,43.2083015,-89.439003
land0643,43.2043991,-89.3682022
