#TECH,cap(tonne),reprod,inv,op($/tonne),note,
tA1,20000000,p1,0.00E+00,2.27E-01,dewater1,
tA2,20000000,p2,0.00E+00,2.27E-01,dewater2,
tA3,20000000,p3,0.00E+00,2.27E-01,dewater3,
tB1,2000000,p12,0.00E+00,3.88E+01,granulation1,
tB2,2000000,p13,0.00E+00,3.88E+01,granulation2,
tB3,2000000,p14,0.00E+00,3.88E+01,granulation3,
tC1,20000000,p1,0.00E+00,3.81E+01,struvite1,
tC2,20000000,p2,0.00E+00,3.81E+01,struvite2,
tC3,20000000,p3,0.00E+00,3.81E+01,struvite3,
tD1,20000000,p9,0.00E+00,3.81E+01,struvite-l1,
tD2,20000000,p10,0.00E+00,3.81E+01,struvite-l2,
tD3,20000000,p11,0.00E+00,3.81E+01,struvite-l3,
