id,Region,TimePoint,Subproblem,aglevel1,aglevel2
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,1,1,1
5,1,1,1,1,1
6,1,1,1,1,1
7,1,1,1,1,1
8,1,1,1,1,1
9,1,1,1,1,1
10,1,1,1,1,1
11,1,1,1,1,1
12,1,1,1,1,1
13,1,1,1,1,1
14,1,1,1,1,1
15,1,1,1,1,1
16,1,1,1,1,1
17,1,1,1,1,1
18,1,1,1,1,1
19,1,1,1,1,1
20,1,1,1,1,1
21,1,1,1,1,1
22,1,1,1,1,1
23,1,1,1,1,1
24,1,1,1,1,1
25,1,1,1,1,1
26,1,1,1,1,1
27,1,1,1,1,1
28,1,1,1,1,1
29,1,1,1,1,1
30,1,1,1,1,1
31,1,1,1,1,1
32,1,1,1,1,1
33,2,1,1,1,1
34,2,1,1,1,1
35,2,1,1,1,1
36,2,1,1,1,1
37,2,1,1,1,1
38,2,1,1,1,1
39,2,1,1,1,1
40,2,1,1,1,1
41,2,1,1,1,1
42,2,1,1,1,1
43,2,1,1,1,1
44,2,1,1,1,1
45,2,1,1,1,1
46,2,1,1,1,1
47,2,1,1,1,1
48,2,1,1,1,1
49,2,1,1,1,1
50,2,1,1,1,1
51,2,1,1,1,1
52,2,1,1,1,1
53,2,1,1,1,1
54,2,1,1,1,1
55,2,1,1,1,1
56,2,1,1,1,1
57,2,1,1,1,1
58,2,1,1,1,1
59,2,1,1,1,1
60,2,1,1,1,1
61,2,1,1,1,1
62,2,1,1,1,1
63,2,1,1,1,1
64,2,1,1,1,1
65,2,1,1,1,1
66,2,1,1,1,1
67,2,1,1,1,1
68,2,1,1,1,1
69,2,1,1,1,1
70,1,1,1,1,1
71,1,1,1,1,1
72,1,1,1,1,1
73,1,1,1,1,1
74,1,1,1,1,1
75,1,1,1,1,1
76,2,1,1,1,1
77,2,1,1,1,1
78,2,1,1,1,1
79,2,1,1,1,1
80,2,1,1,1,1
81,2,1,1,1,1
82,3,1,1,1,1
83,3,1,1,1,1
84,3,1,1,1,1
85,3,1,1,1,1
86,3,1,1,1,1
87,3,1,1,1,1
88,3,1,1,1,1
89,3,1,1,1,1
90,3,1,1,1,1
91,3,1,1,1,1
92,3,1,1,1,1
93,3,1,1,1,1
94,3,1,1,1,1
95,3,1,1,1,1
96,3,1,1,1,1
97,2,1,1,1,1
98,2,1,1,1,1
99,2,1,1,1,1
100,3,1,1,1,1
101,3,1,1,1,1
102,3,1,1,1,1
103,3,1,1,1,1
104,3,1,1,1,1
105,3,1,1,1,1
106,3,1,1,1,1
107,3,1,1,1,1
108,3,1,1,1,1
109,3,1,1,1,1
110,3,1,1,1,1
111,3,1,1,1,1
112,3,1,1,1,1
113,1,1,1,1,1
114,1,1,1,1,1
115,1,1,1,1,1
116,2,1,1,1,1
117,1,1,1,1,1
118,2,1,1,1,1
119,1,1,1,1,1
120,1,1,1,1,1
121,1,1,1,1,1
122,1,1,1,1,1
123,1,1,1,1,1
124,1,1,1,1,1
125,1,1,1,1,1
126,1,1,1,1,1
127,1,1,1,1,1
128,1,1,1,1,1
129,1,1,1,1,1
130,1,1,1,1,1
131,1,1,1,1,1
132,1,1,1,1,1
133,1,1,1,1,1
134,1,1,1,1,1
135,1,1,1,1,1
136,1,1,1,1,1
137,1,1,1,1,1
138,1,1,1,1,1
139,1,1,1,1,1
140,1,1,1,1,1
141,1,1,1,1,1
142,1,1,1,1,1
143,1,1,1,1,1
144,1,1,1,1,1
145,1,1,1,1,1
146,1,1,1,1,1
147,1,1,1,1,1
148,1,1,1,1,1
149,1,1,1,1,1
150,1,1,1,1,1
151,1,1,1,1,1
