id,Region,Type
1,1,Bus
2,1,Bus
3,1,Bus
4,1,Bus
5,1,Bus
6,1,Bus
7,1,Bus
8,1,Bus
9,1,Bus
10,1,Bus
11,1,Bus
12,1,Bus
13,1,Bus
14,1,Bus
15,1,Bus
16,1,Bus
17,1,Bus
18,1,Bus
19,1,Bus
20,1,Bus
21,1,Bus
22,1,Bus
23,1,Bus
24,1,Bus
25,1,Bus
26,1,Bus
27,1,Bus
28,1,Bus
29,1,Bus
30,1,Bus
31,1,Bus
32,1,Bus
33,2,Bus
34,2,Bus
35,2,Bus
36,2,Bus
37,2,Bus
38,2,Bus
39,2,Bus
40,2,Bus
41,2,Bus
42,2,Bus
43,2,Bus
44,2,Bus
45,2,Bus
46,2,Bus
47,2,Bus
48,2,Bus
49,2,Bus
50,2,Bus
51,2,Bus
52,2,Bus
53,2,Bus
54,2,Bus
55,2,Bus
56,2,Bus
57,2,Bus
58,2,Bus
59,2,Bus
60,2,Bus
61,2,Bus
62,2,Bus
63,2,Bus
64,2,Bus
65,2,Bus
66,2,Bus
67,2,Bus
68,2,Bus
69,2,Bus
70,1,Bus
71,1,Bus
72,1,Bus
73,1,Bus
74,1,Bus
75,1,Bus
76,2,Bus
77,2,Bus
78,2,Bus
79,2,Bus
80,2,Bus
81,2,Bus
82,3,Bus
83,3,Bus
84,3,Bus
85,3,Bus
86,3,Bus
87,3,Bus
88,3,Bus
89,3,Bus
90,3,Bus
91,3,Bus
92,3,Bus
93,3,Bus
94,3,Bus
95,3,Bus
96,3,Bus
97,2,Bus
98,2,Bus
99,2,Bus
100,3,Bus
101,3,Bus
102,3,Bus
103,3,Bus
104,3,Bus
105,3,Bus
106,3,Bus
107,3,Bus
108,3,Bus
109,3,Bus
110,3,Bus
111,3,Bus
112,3,Bus
113,1,Bus
114,1,Bus
115,1,Bus
116,2,Bus
117,1,Bus
118,2,Bus
119,1,Line
120,1,Line
121,1,Line
122,1,Line
123,1,Line
124,1,Line
125,1,Line
126,1,Line
127,1,Line
128,1,Line
129,1,Line
130,1,Line
131,1,Line
132,1,Line
133,1,Line
134,1,Line
135,1,Line
136,1,Line
137,1,Line
138,1,Line
139,1,Line
140,1,Line
141,1,Line
142,1,Line
143,1,Line
144,1,Line
145,1,Line
146,1,Line
147,1,Line
148,1,Line
149,1,Line
150,1,Line
151,1,Line
152,1,Line
153,1,Line
154,1,Line
155,1,Line
156,1,Line
157,1,Line
158,1,Line
159,1,Line
160,1,Line
161,1,Line
162,1,Line
163,1,Line
164,2,Line
165,2,Line
166,2,Line
167,2,Line
168,2,Line
169,2,Line
170,2,Line
171,2,Line
172,1,Line
173,2,Line
174,2,Line
175,2,Line
176,2,Line
177,2,Line
178,2,Line
179,2,Line
180,2,Line
181,2,Line
182,2,Line
183,2,Line
184,2,Line
185,2,Line
186,2,Line
187,2,Line
188,2,Line
189,2,Line
190,2,Line
191,2,Line
192,2,Line
193,2,Line
194,2,Line
195,2,Line
196,2,Line
197,2,Line
198,2,Line
199,2,Line
200,2,Line
201,2,Line
202,2,Line
203,2,Line
204,2,Line
205,2,Line
206,2,Line
207,2,Line
208,2,Line
209,2,Line
210,2,Line
211,2,Line
212,2,Line
213,2,Line
214,2,Line
215,2,Line
216,2,Line
217,2,Line
218,2,Line
219,2,Line
220,2,Line
221,2,Line
222,2,Line
223,2,Line
224,2,Line
225,2,Line
226,2,Line
227,1,Line
228,1,Line
229,1,Line
230,1,Line
231,1,Line
232,1,Line
233,1,Line
234,2,Line
235,1,Line
236,2,Line
237,2,Line
238,1,Line
239,2,Line
240,2,Line
241,2,Line
242,2,Line
243,2,Line
244,2,Line
245,2,Line
246,2,Line
247,3,Line
248,3,Line
249,3,Line
250,3,Line
251,3,Line
252,3,Line
253,3,Line
254,3,Line
255,3,Line
256,3,Line
257,3,Line
258,3,Line
259,3,Line
260,3,Line
261,3,Line
262,3,Line
263,3,Line
264,3,Line
265,3,Line
266,2,Line
267,3,Line
268,3,Line
269,2,Line
270,2,Line
271,2,Line
272,3,Line
273,3,Line
274,3,Line
275,3,Line
276,2,Line
277,2,Line
278,3,Line
279,3,Line
280,3,Line
281,3,Line
282,3,Line
283,3,Line
284,3,Line
285,3,Line
286,3,Line
287,3,Line
288,3,Line
289,3,Line
290,3,Line
291,3,Line
292,3,Line
293,3,Line
294,3,Line
295,3,Line
296,1,Line
297,1,Line
298,1,Line
299,1,Line
300,1,Line
301,2,Line
302,1,Line
303,1,Line
304,2,Line
