Solving time,2019-8-9 11:29
Total social welfare (million $year),1.2776253994705217e8
Total revenue (million $/year),1.5822011795941899e6
Total supply cost (million $/year),-1.3351468061535001e8
Total transportation cost (million $/year),2.618100010818308e6
Total technology cost (million $/year),4.716241837073732e6
Total supplier profit (million $/year),1.0474742637359102e8
Total customer profit (million $/year),2.301511357346111e7
Total transportation provider profit (million $/year),-8.425453518041521e-11
Total technology provider profit (million $/year),-1.47451828524936e-10
Percentage of suppliers involved (%),100.0
Percentage of customers involved (%),6.965117600272697
Percentage of transportation provider involved (%),0.004395322214025573
Percentage of technology provider involved (%),67.36842105263158
Ratio of applied P and uptaken P by crops,0.9991013210684361


