# 1. Arc ID| 2. Arc first node| 3. Arc second node| 4. Arc capacity| 5. Custom Arc Length
A00001|NC001|NC002|1E6|
A00002|NC001|NC003|1E6|
A00003|NC001|NC004|1E6|
A00004|NC001|NC005|1E6|
A00005|NC001|NC006|1E6|
A00006|NC001|NC007|1E6|
A00007|NC001|NC008|1E6|
A00008|NC001|NC013|1E6|
A00009|NC001|NC015|1E6|
A00010|NC001|NC025|1E6|
A00011|NC001|NC026|1E6|
A00012|NC001|NC029|1E6|
A00013|NC001|NC031|1E6|
A00014|NC001|NC032|1E6|
A00015|NC001|NC034|1E6|
A00016|NC001|NC040|1E6|
A00017|NC001|NC041|1E6|
A00018|NC001|NC042|1E6|
A00019|NC001|NC043|1E6|
A00020|NC001|NC044|1E6|
A00021|NC001|NC045|1E6|
A00022|NC001|NC048|1E6|
A00023|NC001|NC049|1E6|
A00024|NC001|NC050|1E6|
A00025|NC001|NC051|1E6|
A00026|NC001|NC052|1E6|
A00027|NC001|NC054|1E6|
A00028|NC001|NC061|1E6|
A00029|NC001|NC063|1E6|
A00030|NC001|NC064|1E6|
A00031|NC001|NC065|1E6|
A00032|NC001|NC066|1E6|
A00033|NC001|NC068|1E6|
A00034|NC001|NC069|1E6|
A00035|NC001|NC070|1E6|
A00036|NC001|NC071|1E6|
A00037|NC001|NC074|1E6|
A00038|NC001|NC076|1E6|
A00039|NC001|NC080|1E6|
A00040|NC001|NC086|1E6|
A00041|NC001|NC089|1E6|
A00042|NC001|NC090|1E6|
A00043|NC001|NC092|1E6|
A00044|NC001|NC093|1E6|
A00045|NC001|NC095|1E6|
A00046|NC001|NC097|1E6|
A00047|NC001|NC101|1E6|
A00048|NC001|NC105|1E6|
A00049|NC001|NC106|1E6|
A00050|NC001|NC107|1E6|
A00051|NC001|NC109|1E6|
A00052|NC001|NC110|1E6|
A00053|NC001|NC111|1E6|
A00054|NC001|NC115|1E6|
A00055|NC001|NC116|1E6|
A00056|NC001|NC120|1E6|
A00057|NC001|NC121|1E6|
A00058|NC001|NC128|1E6|
A00059|NC001|NC130|1E6|
A00060|NC001|NC132|1E6|
A00061|NC001|NC133|1E6|
A00062|NC001|NC136|1E6|
A00063|NC001|NC143|1E6|
A00064|NC001|NC146|1E6|
A00065|NC001|NC150|1E6|
A00066|NC001|NC152|1E6|
A00067|NC001|NC154|1E6|
A00068|NC001|NC157|1E6|
A00069|NC001|NC158|1E6|
A00070|NC001|NC160|1E6|
A00071|NC001|NC161|1E6|
A00072|NC001|NC162|1E6|
A00073|NC001|NC166|1E6|
A00074|NC001|NC167|1E6|
A00075|NC001|NC168|1E6|
A00076|NC001|NC173|1E6|
A00077|NC001|NC174|1E6|
A00078|NC001|NC175|1E6|
A00079|NC001|NC179|1E6|
A00080|NC001|NC189|1E6|
A00081|NC001|NC190|1E6|
A00082|NC001|NC192|1E6|
A00083|NC001|NC193|1E6|
A00084|NC001|NC194|1E6|
A00085|NC001|NC195|1E6|
A00086|NC001|NC196|1E6|
A00087|NC001|NC197|1E6|
A00088|NC001|NC198|1E6|
A00089|NC001|NC199|1E6|
A00090|NC001|NC200|1E6|
A00091|NC001|NC201|1E6|
A00092|NC001|NC202|1E6|
A00093|NC001|NC203|1E6|
A00094|NC001|NC205|1E6|
A00095|NC001|NC206|1E6|
A00096|NC001|NC207|1E6|
A00097|NC001|NC213|1E6|
A00098|NC001|NC215|1E6|
A00099|NC001|NC216|1E6|
A00100|NC001|NC217|1E6|
A00101|NC001|NC219|1E6|
A00102|NC001|NC220|1E6|
A00103|NC001|NC222|1E6|
A00104|NC001|NC223|1E6|
A00105|NC001|NC224|1E6|
A00106|NC001|NC227|1E6|
A00107|NC001|NC228|1E6|
A00108|NC001|NC229|1E6|
A00109|NC001|NC230|1E6|
A00110|NC001|NC231|1E6|
A00111|NC001|NC233|1E6|
A00112|NC001|NC234|1E6|
A00113|NC001|NC236|1E6|
A00114|NC001|NC237|1E6|
A00115|NC001|NC238|1E6|
A00116|NC001|NC240|1E6|
A00117|NC001|NC241|1E6|
A00118|NC001|NC242|1E6|
A00119|NC001|NC243|1E6|
A00120|NC001|NC245|1E6|
A00121|NC002|NMAD|1E6|
A00122|NC003|NMAD|1E6|
A00123|NC004|NMAD|1E6|
A00124|NC005|NMAD|1E6|
A00125|NC006|NMAD|1E6|
