ampl.tab 1 5
LINK lstartloc lendloc ldiam  llength ltype 
 l1	n1	n2     920.0  300.0      p
 l2 	n2 	n3     920.0  100.0      a
 l3 	n3 	n4     920.0  100.0      a
 l4 	n4 	n5     920.0  100.0      a
 l5 	n5 	n6     920.0  100.0      a
 l6 	n6 	n7     920.0  100.0      a
 l7 	n7 	n8     920.0  100.0      a
 l8 	n8 	n9     920.0  100.0      a
 l9 	n9 	n10    920.0  100.0      a
 l10 	n10 	n11    920.0  100.0      a
 l11 	n11 	n12    920.0  100.0      a
 l12 	n12 	n13    920.0  300.0      p
