Hour,Solar-bus015,Solar-bus018,Solar-bus019,Solar-bus032,Solar-bus054,Solar-bus055,Solar-bus069,Solar-bus076,Solar-bus092,Solar-bus100,Solar-bus104,Solar-bus105,Solar-bus110,Solar-bus112
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,2.77406175,0,0,0
26,4.253822445,4.423298984,10.22192902,4.979773913,4.746138535,0,7.912982371,1.808228538,13.13591089,0,22.01183652,29.35900274,11.48475701,10.52087879
27,10.30291812,10.52612761,24.90171122,14.07703495,11.42492919,0.007657894,18.99233537,4.474236149,33.23909295,0,49.20120251,68.8045564,27.2055739,25.21114665
28,17.2849547,17.20355331,42.1270854,28.52390401,18.99595578,0.039221376,31.44133825,7.73669832,59.22949413,2.053071679,80.84699882,109.8229035,44.15489956,41.63686664
29,24.33759983,23.3506435,59.98579037,49.55250202,26.41880213,0.105692527,43.46327026,11.33429054,90.02706237,7.64393777,113.4540645,143.9002865,59.32518291,57.36410179
30,30.6684379,28.1649326,76.63564096,77.72286453,32.96727448,0.223584244,53.71352637,15.00785295,124.204063,17.14153314,144.236307,164.6749887,70.53152846,70.47075419
31,35.76472014,32.05382295,90.51475617,110.9066857,39.17206878,0.426207076,62.65596438,18.50688432,158.942031,28.70839394,173.2439072,174.3934563,78.87966323,81.08208208
32,39.18361448,35.72718386,100.131331,146.3035744,45.87810344,0.751070983,71.20655781,21.58304806,191.0748188,39.89124981,201.2361143,177.4541762,86.29796983,89.83518276
33,40.48228886,39.89488467,103.9935606,181.1131393,53.93029683,1.235685927,80.28128016,23.98800759,217.4362786,48.23683035,228.9721777,178.2556354,94.71483091,97.36715352
34,39.49267861,45.01265119,101.3479279,213.0515054,63.97084786,1.878285876,90.38082844,25.56721116,235.752738,52.03673773,256.9327812,180.4104668,105.5006424,104.23862
35,37.14578864,50.51963526,94.39406773,241.9008616,75.83107749,2.520000827,100.3447936,26.5412464,247.3204254,52.5620642,284.4843478,184.3878866,117.7938535,110.7043208
36,34.64739124,55.6008452,86.06990306,267.9599131,89.13958718,2.962684782,108.59749,27.22448573,254.3280443,51.82877459,310.7147349,189.8712572,130.1749269,116.9425232
37,33.20325871,59.44128936,79.31335671,291.5273648,103.5249784,3.008191744,113.5632322,27.93130163,258.9642982,51.85283368,334.7118001,196.5439408,141.2243249,123.1314941
38,33.6435042,61.60291486,76.38907434,313.0027392,118.4418952,2.538824012,114.0815309,28.82234157,263.1137537,54.23775995,355.7107394,204.0964637,149.6746538,129.3238287
39,35.29560431,63.15542399,76.86859274,333.1888285,132.6491519,1.758677064,110.6526823,29.44335317,267.4444293,58.93728656,373.5361029,212.2480084,154.8670943,135.0694344
40,37.11137648,65.54545785,79.65017151,352.9892422,144.7316053,0.952294674,104.1921791,29.1863591,272.3202069,65.49270034,388.1597789,220.7249215,156.2949705,139.7925466
41,38.04263815,70.21965752,83.63207024,373.3075898,153.2741124,0.404220615,95.6155139,27.443382,278.1049681,73.44528812,399.5536558,229.2535496,153.4516067,142.9174009
42,37.43123644,78.1300307,87.81611437,394.5406568,157.4324038,0.327574465,85.98870141,23.89569839,285.1294399,82.15765653,407.8165365,237.4855513,146.3324972,144.1180065
43,36.17913711,88.25005158,91.61839276,415.0579323,158.645705,0.649779025,76.97984472,19.3816002,293.5917304,90.27769136,413.5548811,244.7738335,136.9418164,144.0674679
44,35.57833558,99.05856095,94.55856012,432.7220814,158.9241155,1.226832899,70.40756901,15.02863323,303.6567932,96.2745982,417.502064,250.3966153,127.7859085,143.6886636
45,36.92082728,109.0343996,96.15627116,445.3957691,160.2777344,1.914734693,68.09049946,11.96434326,315.4895817,98.61758264,420.3914598,253.6321155,121.3711178,143.9044721
46,41.00731076,117.0172277,96.1607009,451.4028773,164.0368232,2.587387577,71.05599229,11.00062365,328.9308173,96.40476712,422.7705868,253.9352177,119.4821035,145.3481482
47,46.67329707,123.2899829,95.2391056,450.9121547,168.8122913,3.190312987,77.16632784,11.68675804,342.5242928,91.24994154,424.4435387,251.4674628,121.0167839,147.4944533
48,52.26300038,128.4964222,94.28826184,444.5535671,172.5352101,3.686936922,83.49251747,13.25637763,354.4895687,85.39581263,425.028553,246.5670563,124.151392,149.5285249
49,56.12063484,133.2803026,94.2049462,432.9570799,173.1366512,4.040685384,87.10557257,14.94311362,363.0462055,81.08508715,424.1438673,239.5722038,127.0621608,150.6355009
50,56.96350115,138.0459792,95.55855657,416.4035293,169.241384,4.215058676,85.9150773,16.11308666,366.9545669,79.83344693,421.437206,231.1023863,128.2323718,150.1700915
