WARNING: using JuMP.getdual in module Main conflicts with an existing identifier.
  [nonlinear] <nonlin>: (((-1.000000) * <_var0_>) + ((-1.000000) * <_var4_>) + ((-1.000000) * <_var8_>) + ((-1.000000) * <_var12_>) + ((-1.000000) * <_var16_>) + ((-1.000000) * <_var20_>)) <= -29;
violation: right hand side is violated by 29 (scaled: 29)
all 1 solutions given by solution candidate storage are infeasible

presolving:
(round 1, fast)       0 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 1803 upgd conss, 0 impls, 0 clqs
(round 2, fast)       0 del vars, 139 del conss, 0 add conss, 3111 chg bounds, 0 chg sides, 0 chg coeffs, 1803 upgd conss, 0 impls, 0 clqs
(round 3, fast)       0 del vars, 163 del conss, 0 add conss, 3111 chg bounds, 0 chg sides, 0 chg coeffs, 1803 upgd conss, 0 impls, 0 clqs
(round 4, exhaustive) 0 del vars, 919 del conss, 0 add conss, 3111 chg bounds, 0 chg sides, 0 chg coeffs, 1803 upgd conss, 0 impls, 0 clqs
presolving (5 rounds: 5 fast, 2 medium, 2 exhaustive):
 0 deleted vars, 919 deleted constraints, 0 added constraints, 3111 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 1906 variables (0 bin, 0 int, 0 impl, 1906 cont) and 884 constraints
    883 constraints of type <linear>
      1 constraints of type <quadratic>
Presolving Time: 2.19

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |  1515 |     - |9806k| 1.390181e+06 |      --      |    Inf 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

q     1 |     0 |  1515 |     - |9831k| 1.390181e+06 | 1.479123e+06 |   6.40%
      1 |     0 |  1515 |     - |9831k| 1.390181e+06 | 1.479123e+06 |   6.40%
      1 |     0 |  1515 |     - |9831k| 1.390181e+06 | 1.479123e+06 |   6.40%
      1 |     0 | 16035 |     - |9847k| 1.390181e+06 | 1.479123e+06 |   6.40%
      1 |     2 | 16035 |     - |9848k| 1.390181e+06 | 1.479123e+06 |   6.40%
    100 |   101 | 16217 | 148.5 |  19M| 1.391439e+06 | 1.479123e+06 |   6.30%
    200 |   201 | 16405 |  74.8 |  27M| 1.391779e+06 | 1.479123e+06 |   6.28%
    300 |   301 | 16571 |  50.4 |  36M| 1.392030e+06 | 1.479123e+06 |   6.26%
    400 |   401 | 16743 |  38.2 |  47M| 1.392126e+06 | 1.479123e+06 |   6.25%
    500 |   501 | 16915 |  30.9 |  55M| 1.392272e+06 | 1.479123e+06 |   6.24%
    600 |   601 | 17062 |  26.0 |  65M| 1.392373e+06 | 1.479123e+06 |   6.23%
    700 |   701 | 17222 |  22.5 |  75M| 1.392425e+06 | 1.479123e+06 |   6.23%
    800 |   801 | 17375 |  19.8 |  80M| 1.392504e+06 | 1.479123e+06 |   6.22%
    900 |   901 | 17526 |  17.8 |  91M| 1.392560e+06 | 1.479123e+06 |   6.22%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   1000 |  1001 | 17676 |  16.2 | 104M| 1.392601e+06 | 1.479123e+06 |   6.21%
   1100 |  1101 | 17829 |  14.8 | 109M| 1.392649e+06 | 1.479123e+06 |   6.21%
   1200 |  1201 | 17985 |  13.7 | 123M| 1.392677e+06 | 1.479123e+06 |   6.21%
   1300 |  1301 | 18151 |  12.8 | 128M| 1.392743e+06 | 1.479123e+06 |   6.20%
   1400 |  1401 | 18325 |  12.0 | 144M| 1.392764e+06 | 1.479123e+06 |   6.20%
   1500 |  1501 | 18502 |  11.3 | 149M| 1.392824e+06 | 1.479123e+06 |   6.20%
   1600 |  1601 | 18683 |  10.7 | 154M| 1.392871e+06 | 1.479123e+06 |   6.19%
   1700 |  1701 | 18880 |  10.2 | 172M| 1.392896e+06 | 1.479123e+06 |   6.19%
   1800 |  1801 | 19068 |   9.8 | 177M| 1.392932e+06 | 1.479123e+06 |   6.19%
