WARNING: using JuMP.getdual in module Main conflicts with an existing identifier.
  [nonlinear] <nonlin>: (((-6.000000) * <_var0_>) + (1.000000 * <_var1_>) + ((-9.000000) * <_var2_>) + (3.000000 * <_var4_>) + (1.000000 * <_var5_>) + (4.000000 * <_var6_>) + ((-2.000000) * <_var7_>) + (8.000000 * <_var8_>) + ((-6.000000) * <_var9_>) + ((-4.000000) * <_var10_>) + ((-6.000000) * <_var12_>) + (3.000000 * <_var13_>) + (6.000000 * <_var14_>) + (2.000000 * <_var15_>) + (1.000000 * <_var16_>) + (9.000000 * <_var17_>) + (8.000000 * <_var18_>) + ((-10.000000) * <_var19_>) + ((-4.000000) * <_var20_>) + ((-7.000000) * <_var21_>) + ((-8.000000) * <_var22_>) + ((-1.000000) * <_var23_>) + (5.000000 * <_var24_>) + ((-7.000000) * <_var25_>) + (10.000000 * <_var26_>) + ((-3.000000) * <_var27_>) + ((-6.000000) * <_var28_>) + ((-7.000000) * <_var29_>)) <= -5;
violation: right hand side is violated by 5 (scaled: 5)
all 1 solutions given by solution candidate storage are infeasible

presolving:
(round 1, fast)       0 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 2101 upgd conss, 0 impls, 0 clqs
(round 2, fast)       0 del vars, 0 del conss, 0 add conss, 2506 chg bounds, 0 chg sides, 0 chg coeffs, 2101 upgd conss, 0 impls, 0 clqs
presolving (3 rounds: 3 fast, 1 medium, 1 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 2506 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 2506 variables (0 bin, 0 int, 0 impl, 2506 cont) and 2101 constraints
   2100 constraints of type <linear>
      1 constraints of type <quadratic>
Presolving Time: 3.96

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 | 10704 |     - |  28M|-1.688248e+08 |      --      |    Inf 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

q     1 |     0 | 10704 |     - |  29M|-1.688248e+08 |-9.894278e+07 |  70.63%
y     1 |     0 | 10704 |     - |  29M|-1.688248e+08 |-9.894280e+07 |  70.63%
      1 |     0 | 10704 |     - |  29M|-1.688248e+08 |-9.894280e+07 |  70.63%
      1 |     0 | 10704 |     - |  29M|-1.688248e+08 |-9.894280e+07 |  70.63%
      1 |     0 |117744 |     - |  29M|-1.688248e+08 |-9.894280e+07 |  70.63%
      1 |     0 |117746 |     - |  29M|-1.667631e+08 |-9.894280e+07 |  68.54%
      1 |     2 |117746 |     - |  29M|-1.667631e+08 |-9.894280e+07 |  68.54%
    100 |     3 |134587 |1251.3 |  36M|-1.441245e+08 |-9.894280e+07 |  45.66%
    200 |     7 |160645 | 753.5 |  40M|-1.384471e+08 |-9.894280e+07 |  39.93%
    300 |     3 |167142 | 523.2 |  46M|-1.272142e+08 |-9.894280e+07 |  28.57%
    400 |     3 |169906 | 399.0 |  52M|-1.272142e+08 |-9.894280e+07 |  28.57%
    500 |     7 |183127 | 345.5 |  58M|-1.272142e+08 |-9.894280e+07 |  28.57%
    600 |     7 |223144 | 354.7 |  65M|-1.238870e+08 |-9.894280e+07 |  25.21%
    700 |    15 |280655 | 386.2 |  72M|-1.238870e+08 |-9.894280e+07 |  25.21%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
    800 |    17 |304524 | 367.7 |  79M|-1.238870e+08 |-9.894280e+07 |  25.21%
    900 |    17 |423751 | 459.4 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   1000 |    17 |749305 | 739.3 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   1100 |    21 |  1107k| 997.7 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   1200 |    21 |  1460k|1208.8 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   1300 |    23 |  1807k|1382.8 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   1400 |    15 |  2130k|1515.2 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   1500 |    17 |  2503k|1662.7 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   1600 |    17 |  2842k|1771.1 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   1700 |    17 |  3186k|1869.2 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   1800 |    17 |  3535k|1959.3 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   1900 |    17 |  3879k|2037.3 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   2000 |    17 |  4221k|2106.4 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   2100 |    17 |  4561k|2167.9 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   2200 |    17 |  4915k|2230.6 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   2300 |    17 |  5257k|2282.1 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   2400 |    19 |  5612k|2335.1 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   2500 |    19 |  5975k|2387.0 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   2600 |    15 |  6315k|2426.0 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   2700 |    15 |  6673k|2468.6 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   2800 |    15 |  7040k|2511.4 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   2900 |    15 |  7403k|2550.1 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   3000 |    15 |  7773k|2588.4 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   3100 |    15 |  8137k|2622.4 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   3200 |    15 |  8552k|2670.2 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   3300 |    15 |  8988k|2721.2 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   3400 |    15 |  9391k|2759.9 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   3500 |    17 |  9764k|2787.7 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   3600 |    17 | 10112k|2806.9 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
   3700 |    17 | 10452k|2822.8 |  77M|-1.238870e+08 |-9.894280e+07 |  25.21%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   3800 |    17 | 10789k|2837.2 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   3900 |    17 | 11132k|2852.5 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   4000 |    17 | 11483k|2868.9 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   4100 |    17 | 11837k|2885.3 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   4200 |    17 | 12182k|2898.7 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   4300 |    17 | 12530k|2912.3 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   4400 |    19 | 12899k|2930.0 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   4500 |    19 | 13272k|2947.7 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   4600 |    19 | 13637k|2963.1 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   4700 |    19 | 14010k|2979.4 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   4800 |    19 | 14366k|2991.4 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   4900 |    75 | 14969k|3053.5 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   5000 |   119 | 15522k|3103.0 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   5100 |   119 | 15896k|3115.4 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   5200 |   119 | 16280k|3129.5 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   5300 |   119 | 16669k|3143.8 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   5400 |   123 | 17081k|3161.8 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   5500 |   139 | 17543k|3188.3 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   5600 |   153 | 17967k|3207.2 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   5700 |   155 | 18327k|3214.0 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   5800 |   155 | 18688k|3220.8 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   5900 |   157 | 19051k|3227.8 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   6000 |   169 | 19476k|3244.8 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   6100 |   203 | 20018k|3280.5 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   6200 |   235 | 20528k|3309.8 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   6300 |   223 | 20852k|3308.8 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   6400 |   187 | 20865k|3259.0 |  75M|-1.238870e+08 |-9.894280e+07 |  25.21%
   6500 |   193 | 20978k|3226.4 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   6600 |   193 | 21332k|3231.1 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   6700 |   193 | 21683k|3235.3 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   6800 |   193 | 22026k|3238.1 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   6900 |   193 | 22384k|3243.1 |  78M|-1.238870e+08 |-9.894280e+07 |  25.21%
   7000 |   199 | 22546k|3219.9 |  80M|-1.238870e+08 |-9.894280e+07 |  25.21%
   7100 |   213 | 22547k|3174.7 |  84M|-1.238870e+08 |-9.894280e+07 |  25.21%
