WARNING: using JuMP.getdual in module Main conflicts with an existing identifier.
  [nonlinear] <nonlin>: ((0.281015 * <_var0_>) + (0.557418 * <_var1_>) + (0.327830 * <_var2_>) + (0.482493 * <_var3_>) + (0.366492 * <_var4_>) + (0.266629 * <_var5_>) + (0.058904 * <_var6_>) + (0.373176 * <_var7_>) + (2.060883 * <_var8_>) + (0.611955 * <_var9_>) + (0.609547 * <_var10_>) + (0.691291 * <_var11_>) + (0.614641 * <_var12_>) + (0.260234 * <_var13_>) + (0.433312 * <_var14_>) + (0.412351 * <_var15_>) + (0.329609 * <_var16_>) + (0.491261 * <_var17_>) + (0.264869 * <_var18_>) + (0.337580 * <_var19_>)) <= 250000;
violation: right hand side is violated by 782.342878375435 (scaled: 782.342878375435)
all 1 solutions given by solution candidate storage are infeasible

presolving:
(round 1, fast)       0 del vars, 0 del conss, 0 add conss, 200 chg bounds, 0 chg sides, 0 chg coeffs, 801 upgd conss, 0 impls, 0 clqs
(round 2, fast)       1 del vars, 295 del conss, 0 add conss, 601 chg bounds, 0 chg sides, 0 chg coeffs, 801 upgd conss, 0 impls, 0 clqs
(round 3, fast)       1 del vars, 295 del conss, 0 add conss, 801 chg bounds, 0 chg sides, 0 chg coeffs, 801 upgd conss, 0 impls, 0 clqs
presolving (4 rounds: 4 fast, 1 medium, 1 exhaustive):
 1 deleted vars, 295 deleted constraints, 0 added constraints, 801 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 3805 variables (0 bin, 0 int, 0 impl, 3805 cont) and 606 constraints
    506 constraints of type <linear>
    100 constraints of type <nonlinear>
Presolving Time: 0.38

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |  2311 |     - |  16M|-6.217839e+08 |      --      |    Inf 
U     1 |     0 |  2311 |     - |  18M|-6.217839e+08 |-6.189799e+08 |   0.45%

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

      1 |     0 |  2589 |     - |  18M|-6.200241e+08 |-6.189799e+08 |   0.17%
      1 |     0 |  2708 |     - |  18M|-6.198833e+08 |-6.189799e+08 |   0.15%
      1 |     0 |  2817 |     - |  18M|-6.197805e+08 |-6.189799e+08 |   0.13%
      1 |     0 |  3000 |     - |  19M|-6.195297e+08 |-6.189799e+08 |   0.09%
      1 |     0 |  3141 |     - |  19M|-6.194779e+08 |-6.189799e+08 |   0.08%
      1 |     0 |  3243 |     - |  19M|-6.194507e+08 |-6.189799e+08 |   0.08%
      1 |     0 |  3345 |     - |  19M|-6.193797e+08 |-6.189799e+08 |   0.06%
      1 |     0 |  3480 |     - |  19M|-6.193352e+08 |-6.189799e+08 |   0.06%
      1 |     0 |  3581 |     - |  20M|-6.193243e+08 |-6.189799e+08 |   0.06%
      1 |     0 |  3673 |     - |  20M|-6.193036e+08 |-6.189799e+08 |   0.05%
      1 |     0 |  3765 |     - |  20M|-6.192941e+08 |-6.189799e+08 |   0.05%
      1 |     0 |  3860 |     - |  20M|-6.192861e+08 |-6.189799e+08 |   0.05%
      1 |     0 |  3948 |     - |  20M|-6.192705e+08 |-6.189799e+08 |   0.05%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |  4040 |     - |  21M|-6.192576e+08 |-6.189799e+08 |   0.04%
      1 |     0 |  4169 |     - |  21M|-6.192525e+08 |-6.189799e+08 |   0.04%
      1 |     0 |  4294 |     - |  21M|-6.192469e+08 |-6.189799e+08 |   0.04%
      1 |     0 |  4381 |     - |  21M|-6.192454e+08 |-6.189799e+08 |   0.04%
      1 |     0 |  4461 |     - |  21M|-6.192431e+08 |-6.189799e+08 |   0.04%
      1 |     0 |  4572 |     - |  21M|-6.192394e+08 |-6.189799e+08 |   0.04%
      1 |     0 |  4639 |     - |  22M|-6.192390e+08 |-6.189799e+08 |   0.04%
      1 |     0 |  4707 |     - |  22M|-6.192373e+08 |-6.189799e+08 |   0.04%
