WARNING: using JuMP.getdual in module Main conflicts with an existing identifier.
  [nonlinear] <nonlin>: (((-3.000000) * <_var0_>) + (7.000000 * <_var1_>) + ((-5.000000) * <_var3_>) + (1.000000 * <_var4_>) + (1.000000 * <_var5_>) + (2.000000 * <_var7_>) + ((-1.000000) * <_var8_>) + ((-1.000000) * <_var9_>) + ((-9.000000) * <_var10_>) + (3.000000 * <_var11_>) + (5.000000 * <_var12_>) + (1.000000 * <_var15_>) + (7.000000 * <_var16_>) + ((-7.000000) * <_var17_>) + ((-4.000000) * <_var18_>) + ((-6.000000) * <_var19_>)) <= -5;
violation: right hand side is violated by 5 (scaled: 5)
all 1 solutions given by solution candidate storage are infeasible

presolving:
(round 1, fast)       0 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 1001 upgd conss, 0 impls, 0 clqs
(round 2, fast)       0 del vars, 0 del conss, 0 add conss, 1506 chg bounds, 0 chg sides, 0 chg coeffs, 1001 upgd conss, 0 impls, 0 clqs
presolving (3 rounds: 3 fast, 1 medium, 1 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 1506 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 1506 variables (0 bin, 0 int, 0 impl, 1506 cont) and 1001 constraints
   1000 constraints of type <linear>
      1 constraints of type <quadratic>
Presolving Time: 1.51

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   634 |     - |  11M|-4.800000e+04 |      --      |    Inf 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

q     1 |     0 |   634 |     - |  11M|-4.800000e+04 | 1.990089e+03 |    Inf 
y     1 |     0 |   634 |     - |  11M|-4.800000e+04 | 1.974610e+03 |    Inf 
      1 |     0 |   634 |     - |  11M|-4.800000e+04 | 1.974610e+03 |    Inf 
      1 |     0 |   634 |     - |  11M|-4.800000e+04 | 1.974610e+03 |    Inf 
      1 |     0 |  6974 |     - |  11M|-4.800000e+04 | 1.974610e+03 |    Inf 
      1 |     0 |  7385 |     - |  11M|-4.800000e+04 | 1.974610e+03 |    Inf 
q     1 |     0 |  7385 |     - |  11M|-4.800000e+04 |-1.174819e+04 | 308.57%
      1 |     0 |  7385 |     - |  11M|-4.800000e+04 |-1.174819e+04 | 308.57%
y     1 |     0 |  7385 |     - |  11M|-4.800000e+04 |-1.174820e+04 | 308.57%
      1 |     0 | 17835 |     - |  11M|-4.800000e+04 |-1.174820e+04 | 308.57%
      1 |     0 | 20067 |     - |  11M|-4.800000e+04 |-1.174820e+04 | 308.57%
      1 |     2 | 20067 |     - |  11M|-4.800000e+04 |-1.174820e+04 | 308.57%
    100 |   101 | 26679 | 236.4 |  18M|-4.800000e+04 |-1.174820e+04 | 308.57%
    200 |   201 | 30729 | 137.9 |  26M|-4.800000e+04 |-1.174820e+04 | 308.57%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
    300 |   301 | 33858 | 102.3 |  33M|-4.796894e+04 |-1.174820e+04 | 308.31%
    400 |   401 | 35833 |  81.6 |  42M|-4.796894e+04 |-1.174820e+04 | 308.31%
    500 |   501 | 37819 |  69.2 |  49M|-4.796894e+04 |-1.174820e+04 | 308.31%
    600 |   601 | 39190 |  60.0 |  56M|-4.796894e+04 |-1.174820e+04 | 308.31%
    700 |   701 | 40829 |  53.7 |  65M|-4.796894e+04 |-1.174820e+04 | 308.31%
    800 |   801 | 42405 |  49.0 |  74M|-4.793441e+04 |-1.174820e+04 | 308.01%
    900 |   901 | 43852 |  45.1 |  78M|-4.791078e+04 |-1.174820e+04 | 307.81%
   1000 |  1001 | 45011 |  41.8 |  88M|-4.791078e+04 |-1.174820e+04 | 307.81%
   1100 |  1097 | 46091 |  39.0 |  93M|-4.791078e+04 |-1.174820e+04 | 307.81%
   1200 |  1197 | 47343 |  36.8 | 104M|-4.791078e+04 |-1.174820e+04 | 307.81%
   1300 |  1295 | 48496 |  34.8 | 108M|-4.791078e+04 |-1.174820e+04 | 307.81%
   1400 |  1393 | 49458 |  33.0 | 121M|-4.791078e+04 |-1.174820e+04 | 307.81%
   1500 |  1483 | 50781 |  31.7 | 125M|-4.791078e+04 |-1.174820e+04 | 307.81%
   1600 |  1579 | 52603 |  30.8 | 129M|-4.790257e+04 |-1.174820e+04 | 307.74%
   1700 |  1677 | 53745 |  29.7 | 143M|-4.780557e+04 |-1.174820e+04 | 306.92%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   1800 |  1767 | 55392 |  29.0 | 147M|-4.780557e+04 |-1.174820e+04 | 306.92%
   1900 |  1859 | 56337 |  27.9 | 152M|-4.780557e+04 |-1.174820e+04 | 306.92%
   2000 |  1957 | 57368 |  27.1 | 156M|-4.780557e+04 |-1.174820e+04 | 306.92%
   2100 |  2053 | 58436 |  26.3 | 172M|-4.779736e+04 |-1.174820e+04 | 306.85%
   2200 |  2147 | 59465 |  25.6 | 177M|-4.779736e+04 |-1.174820e+04 | 306.85%
   2300 |  2241 | 60203 |  24.8 | 181M|-4.779736e+04 |-1.174820e+04 | 306.85%
   2400 |  2339 | 61566 |  24.3 | 185M|-4.776702e+04 |-1.174820e+04 | 306.59%
   2500 |  2431 | 62300 |  23.6 | 204M|-4.776401e+04 |-1.174820e+04 | 306.56%
   2600 |  2527 | 63015 |  23.0 | 208M|-4.776401e+04 |-1.174820e+04 | 306.56%
   2700 |  2625 | 63729 |  22.4 | 212M|-4.776401e+04 |-1.174820e+04 | 306.56%
   2800 |  2721 | 65019 |  22.1 | 216M|-4.775891e+04 |-1.174820e+04 | 306.52%
   2900 |  2819 | 65770 |  21.6 | 220M|-4.775361e+04 |-1.174820e+04 | 306.48%
   3000 |  2915 | 66693 |  21.1 | 242M|-4.775361e+04 |-1.174820e+04 | 306.48%
