# 1.Supply reference no.| 2.Node| 3.Product| 4.Bid| 5.Capacity| 6. Period | 7. Supplier ID| 8. Contract ID
S00001|NMAD|MW|66.063|1900|Z001|S1|H01
S00002|NMAD|MW|73.2|100|Z001|S1|H02
S00003|NMAD|MW|80.703|100|Z001|S1|H03
S00004|NMAD|MW|88.572|100|Z001|S1|H04
S00005|NMAD|MW|96.807|100|Z001|S1|H05
S00006|NMAD|MW|105.408|100|Z001|S1|H06
S00007|NMAD|MW|114.375|100|Z001|S1|H07
S00008|NMAD|MW|123.70800000000001|100|Z001|S1|H08
S00009|NMAD|MW|133.407|100|Z001|S1|H09
S00010|NMAD|MW|143.472|100|Z001|S1|H10
S00011|NMAD|MW|153.90300000000002|100|Z001|S1|H11
S00012|NMAD|MW|164.70000000000002|100|Z001|S1|H12
S00013|NMAD|MW|175.863|100|Z001|S1|H13
S00014|NMAD|MW|66.063|1900|Z002|S1|H01
S00015|NMAD|MW|73.2|100|Z002|S1|H02
S00016|NMAD|MW|80.703|100|Z002|S1|H03
S00017|NMAD|MW|88.572|100|Z002|S1|H04
S00018|NMAD|MW|96.807|100|Z002|S1|H05
S00019|NMAD|MW|105.408|100|Z002|S1|H06
S00020|NMAD|MW|114.375|100|Z002|S1|H07
S00021|NMAD|MW|123.70800000000001|100|Z002|S1|H08
S00022|NMAD|MW|133.407|100|Z002|S1|H09
S00023|NMAD|MW|143.472|100|Z002|S1|H10
S00024|NMAD|MW|153.90300000000002|100|Z002|S1|H11
S00025|NMAD|MW|164.70000000000002|100|Z002|S1|H12
S00026|NMAD|MW|175.863|100|Z002|S1|H13
S00027|NMAD|MW|66.063|1900|Z003|S1|H01
S00028|NMAD|MW|73.2|100|Z003|S1|H02
S00029|NMAD|MW|80.703|100|Z003|S1|H03
S00030|NMAD|MW|88.572|100|Z003|S1|H04
S00031|NMAD|MW|96.807|100|Z003|S1|H05
S00032|NMAD|MW|105.408|100|Z003|S1|H06
S00033|NMAD|MW|114.375|100|Z003|S1|H07
S00034|NMAD|MW|123.70800000000001|100|Z003|S1|H08
S00035|NMAD|MW|133.407|100|Z003|S1|H09
S00036|NMAD|MW|143.472|100|Z003|S1|H10
S00037|NMAD|MW|153.90300000000002|100|Z003|S1|H11
S00038|NMAD|MW|164.70000000000002|100|Z003|S1|H12
S00039|NMAD|MW|175.863|100|Z003|S1|H13
S00040|NMAD|MW|66.063|1900|Z004|S1|H01
S00041|NMAD|MW|73.2|100|Z004|S1|H02
S00042|NMAD|MW|80.703|100|Z004|S1|H03
S00043|NMAD|MW|88.572|100|Z004|S1|H04
S00044|NMAD|MW|96.807|100|Z004|S1|H05
S00045|NMAD|MW|105.408|100|Z004|S1|H06
S00046|NMAD|MW|114.375|100|Z004|S1|H07
S00047|NMAD|MW|123.70800000000001|100|Z004|S1|H08
S00048|NMAD|MW|133.407|100|Z004|S1|H09
S00049|NMAD|MW|143.472|100|Z004|S1|H10
S00050|NMAD|MW|153.90300000000002|100|Z004|S1|H11
S00051|NMAD|MW|164.70000000000002|100|Z004|S1|H12
S00052|NMAD|MW|175.863|100|Z004|S1|H13
S00053|NMAD|MW|66.063|1900|Z005|S1|H01
S00054|NMAD|MW|73.2|100|Z005|S1|H02
S00055|NMAD|MW|80.703|100|Z005|S1|H03
S00056|NMAD|MW|88.572|100|Z005|S1|H04
S00057|NMAD|MW|96.807|100|Z005|S1|H05
S00058|NMAD|MW|105.408|100|Z005|S1|H06
S00059|NMAD|MW|114.375|100|Z005|S1|H07
S00060|NMAD|MW|123.70800000000001|100|Z005|S1|H08
S00061|NMAD|MW|133.407|100|Z005|S1|H09
S00062|NMAD|MW|143.472|100|Z005|S1|H10
S00063|NMAD|MW|153.90300000000002|100|Z005|S1|H11
S00064|NMAD|MW|164.70000000000002|100|Z005|S1|H12
S00065|NMAD|MW|175.863|100|Z005|S1|H13
S00066|NMAD|MW|66.063|1900|Z006|S1|H01
S00067|NMAD|MW|73.2|100|Z006|S1|H02
S00068|NMAD|MW|80.703|100|Z006|S1|H03
S00069|NMAD|MW|88.572|100|Z006|S1|H04
S00070|NMAD|MW|96.807|100|Z006|S1|H05
S00071|NMAD|MW|105.408|100|Z006|S1|H06
S00072|NMAD|MW|114.375|100|Z006|S1|H07
S00073|NMAD|MW|123.70800000000001|100|Z006|S1|H08
S00074|NMAD|MW|133.407|100|Z006|S1|H09
S00075|NMAD|MW|143.472|100|Z006|S1|H10
S00076|NMAD|MW|153.90300000000002|100|Z006|S1|H11
S00077|NMAD|MW|164.70000000000002|100|Z006|S1|H12
S00078|NMAD|MW|175.863|100|Z006|S1|H13
S00079|NMAD|MW|66.063|1900|Z007|S1|H01
S00080|NMAD|MW|73.2|100|Z007|S1|H02
S00081|NMAD|MW|80.703|100|Z007|S1|H03
S00082|NMAD|MW|88.572|100|Z007|S1|H04
S00083|NMAD|MW|96.807|100|Z007|S1|H05
S00084|NMAD|MW|105.408|100|Z007|S1|H06
S00085|NMAD|MW|114.375|100|Z007|S1|H07
S00086|NMAD|MW|123.70800000000001|100|Z007|S1|H08
S00087|NMAD|MW|133.407|100|Z007|S1|H09
S00088|NMAD|MW|143.472|100|Z007|S1|H10
S00089|NMAD|MW|153.90300000000002|100|Z007|S1|H11
S00090|NMAD|MW|164.70000000000002|100|Z007|S1|H12
S00091|NMAD|MW|175.863|100|Z007|S1|H13
S00092|NMAD|MW|66.063|1900|Z008|S1|H01
S00093|NMAD|MW|73.2|100|Z008|S1|H02
S00094|NMAD|MW|80.703|100|Z008|S1|H03
S00095|NMAD|MW|88.572|100|Z008|S1|H04
S00096|NMAD|MW|96.807|100|Z008|S1|H05
S00097|NMAD|MW|105.408|100|Z008|S1|H06
S00098|NMAD|MW|114.375|100|Z008|S1|H07
S00099|NMAD|MW|123.70800000000001|100|Z008|S1|H08
S00100|NMAD|MW|133.407|100|Z008|S1|H09
S00101|NMAD|MW|143.472|100|Z008|S1|H10
S00102|NMAD|MW|153.90300000000002|100|Z008|S1|H11
S00103|NMAD|MW|164.70000000000002|100|Z008|S1|H12
S00104|NMAD|MW|175.863|100|Z008|S1|H13
S00105|NMAD|MW|66.063|1900|Z009|S1|H01
S00106|NMAD|MW|73.2|100|Z009|S1|H02
S00107|NMAD|MW|80.703|100|Z009|S1|H03
S00108|NMAD|MW|88.572|100|Z009|S1|H04
S00109|NMAD|MW|96.807|100|Z009|S1|H05
S00110|NMAD|MW|105.408|100|Z009|S1|H06
S00111|NMAD|MW|114.375|100|Z009|S1|H07
S00112|NMAD|MW|123.70800000000001|100|Z009|S1|H08
S00113|NMAD|MW|133.407|100|Z009|S1|H09
S00114|NMAD|MW|143.472|100|Z009|S1|H10
S00115|NMAD|MW|153.90300000000002|100|Z009|S1|H11
S00116|NMAD|MW|164.70000000000002|100|Z009|S1|H12
S00117|NMAD|MW|175.863|100|Z009|S1|H13
S00118|NMAD|MW|66.063|1900|Z010|S1|H01
S00119|NMAD|MW|73.2|100|Z010|S1|H02
S00120|NMAD|MW|80.703|100|Z010|S1|H03
S00121|NMAD|MW|88.572|100|Z010|S1|H04
S00122|NMAD|MW|96.807|100|Z010|S1|H05
S00123|NMAD|MW|105.408|100|Z010|S1|H06
S00124|NMAD|MW|114.375|100|Z010|S1|H07
S00125|NMAD|MW|123.70800000000001|100|Z010|S1|H08
S00126|NMAD|MW|133.407|100|Z010|S1|H09
S00127|NMAD|MW|143.472|100|Z010|S1|H10
S00128|NMAD|MW|153.90300000000002|100|Z010|S1|H11
S00129|NMAD|MW|164.70000000000002|100|Z010|S1|H12
S00130|NMAD|MW|175.863|100|Z010|S1|H13
S00131|NMAD|MW|66.063|1900|Z011|S1|H01
S00132|NMAD|MW|73.2|100|Z011|S1|H02
S00133|NMAD|MW|80.703|100|Z011|S1|H03
S00134|NMAD|MW|88.572|100|Z011|S1|H04
S00135|NMAD|MW|96.807|100|Z011|S1|H05
S00136|NMAD|MW|105.408|100|Z011|S1|H06
S00137|NMAD|MW|114.375|100|Z011|S1|H07
S00138|NMAD|MW|123.70800000000001|100|Z011|S1|H08
S00139|NMAD|MW|133.407|100|Z011|S1|H09
S00140|NMAD|MW|143.472|100|Z011|S1|H10
S00141|NMAD|MW|153.90300000000002|100|Z011|S1|H11
