WARNING: using JuMP.getdual in module Main conflicts with an existing identifier.
1/1 feasible solution given by solution candidate storage, new primal bound 0.000000e+00

presolving:
(round 1, fast)       0 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 20001 upgd conss, 0 impls, 0 clqs
(round 2, fast)       0 del vars, 0 del conss, 0 add conss, 80061 chg bounds, 0 chg sides, 0 chg coeffs, 20001 upgd conss, 0 impls, 0 clqs
presolving (3 rounds: 3 fast, 1 medium, 1 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 80062 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 25006 variables (0 bin, 0 int, 0 impl, 25006 cont) and 20001 constraints
  20000 constraints of type <linear>
      1 constraints of type <quadratic>
Presolving Time: 1418.09
transformed 1/1 original solutions to the transformed problem space

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 | 20128 |     - | 208M|-1.556431e+05 | 0.000000e+00 |    Inf 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

q     1 |     0 | 20128 |     - | 208M|-1.556431e+05 |-1.486767e+05 |   4.69%
y     1 |     0 | 20128 |     - | 208M|-1.556431e+05 |-1.486767e+05 |   4.69%
      1 |     0 | 20128 |     - | 208M|-1.556431e+05 |-1.486767e+05 |   4.69%
      1 |     0 | 20128 |     - | 208M|-1.556431e+05 |-1.486767e+05 |   4.69%
      1 |     2 |221408 |     - | 208M|-1.556431e+05 |-1.486767e+05 |   4.69%
    100 |   101 |224405 |2063.4 | 325M|-1.555715e+05 |-1.486767e+05 |   4.64%
    200 |   201 |226655 |1037.8 | 437M|-1.555291e+05 |-1.486767e+05 |   4.61%
    300 |   301 |228091 | 695.5 | 552M|-1.555007e+05 |-1.486767e+05 |   4.59%
    400 |   401 |229486 | 524.7 | 689M|-1.554724e+05 |-1.486767e+05 |   4.57%
    500 |   501 |230660 | 421.9 | 800M|-1.554503e+05 |-1.486767e+05 |   4.56%
    600 |   601 |231821 | 353.4 | 922M|-1.554290e+05 |-1.486767e+05 |   4.54%
    700 |   701 |232982 | 304.5 |1055M|-1.554077e+05 |-1.486767e+05 |   4.53%
    800 |   801 |234158 | 267.9 |1202M|-1.553865e+05 |-1.486767e+05 |   4.51%
    900 |   901 |235148 | 239.2 |1266M|-1.553723e+05 |-1.486767e+05 |   4.50%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   1000 |  1001 |236816 | 216.9 |1429M|-1.553456e+05 |-1.486767e+05 |   4.49%
   1100 |  1101 |237581 | 197.9 |1493M|-1.553439e+05 |-1.486767e+05 |   4.48%
   1200 |  1201 |238155 | 181.8 |1675M|-1.553426e+05 |-1.486767e+05 |   4.48%
   1300 |  1301 |238861 | 168.4 |1739M|-1.553425e+05 |-1.486767e+05 |   4.48%
   1400 |  1401 |239555 | 156.8 |1945M|-1.553425e+05 |-1.486767e+05 |   4.48%
   1500 |  1501 |240284 | 146.9 |2009M|-1.553425e+05 |-1.486767e+05 |   4.48%
   1600 |  1601 |240904 | 138.1 |2073M|-1.553425e+05 |-1.486767e+05 |   4.48%
   1700 |  1701 |241645 | 130.4 |2307M|-1.553425e+05 |-1.486767e+05 |   4.48%
   1800 |  1801 |242230 | 123.5 |2371M|-1.553425e+05 |-1.486767e+05 |   4.48%
