Id,Partition,Subpartition
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,2,13
14,2,14
15,2,15
16,2,16
17,2,17
18,2,18
19,2,19
20,2,20
21,2,21
22,2,22
23,2,23
24,2,24
25,3,25
26,3,26
27,3,27
28,3,28
29,3,29
30,3,30
31,3,31
32,3,32
33,3,33
34,3,34
35,3,35
36,3,36
37,3,37
38,4,38
39,4,39
40,4,40
41,4,41
42,4,42
43,4,43
44,4,44
45,4,45
46,4,46
47,4,47
48,4,48
49,4,49
50,2,50
51,3,51
52,4,52
53,2,53
54,1,54
55,1,55
56,4,56
57,3,57
58,4,58
59,1,59
60,1,60
61,3,61
62,4,62
63,1,63
64,2,64
65,1,65
66,2,66
67,1,67
68,1,68
69,3,69
70,4,70
71,2,71
72,4,72
73,4,73
74,4,74
75,2,75
76,2,76
77,2,77
78,3,78
79,2,79
80,4,80
81,4,81
