Solving time,2019-9-30 12:11
Total social welfare (million $year),1.292457228135512e8
Total revenue (million $/year),2.4333427694856613e6
Total supply cost (million $/year),-1.3351468061535001e8
Total transportation cost (million $/year),980190.0823484234
Total technology cost (million $/year),3.9973535726786493e6
Total supplier profit (million $/year),1.1898725631243098e8
Total customer profit (million $/year),1.1983223417377662e7
Total transportation provider profit (million $/year),-8.137488845992126e-11
Total technology provider profit (million $/year),7.548806024715304e-11
Percentage of suppliers involved (%),100.0
Percentage of customers involved (%),7.243495057379843
Percentage of transportation provider involved (%),0.00435617812306097
Percentage of technology provider involved (%),66.3157894736842
Ratio of applied P and uptaken P by crops,1.143122423280561


