#dem,node,product,cap(tonne/week),time,price($/tonne)
d1,land0001,p1,1.00E+30,1,0
d2,land0002,p1,1.00E+30,1,0
d3,land0003,p1,1.00E+30,1,0
d4,land0004,p1,1.00E+30,1,0
d5,land0005,p1,1.00E+30,1,0
d6,land0006,p1,1.00E+30,1,0
d7,land0007,p1,1.00E+30,1,0
d8,land0008,p1,1.00E+30,1,0
d9,land0009,p1,1.00E+30,1,0
d10,land0010,p1,1.00E+30,1,0
d11,land0011,p1,1.00E+30,1,0
d12,land0012,p1,1.00E+30,1,0
d13,land0013,p1,1.00E+30,1,0
d14,land0014,p1,1.00E+30,1,0
d15,land0015,p1,1.00E+30,1,0
d16,land0016,p1,1.00E+30,1,0
d17,land0017,p1,1.00E+30,1,0
d18,land0018,p1,1.00E+30,1,0
d19,land0019,p1,1.00E+30,1,0
d20,land0020,p1,1.00E+30,1,0
d21,land0021,p1,1.00E+30,1,0
d22,land0022,p1,1.00E+30,1,0
d23,land0023,p1,1.00E+30,1,0
d24,land0024,p1,1.00E+30,1,0
d25,land0025,p1,1.00E+30,1,0
d26,land0026,p1,1.00E+30,1,0
d27,land0027,p1,1.00E+30,1,0
d28,land0028,p1,1.00E+30,1,0
d29,land0029,p1,1.00E+30,1,0
d30,land0030,p1,1.00E+30,1,0
d31,land0031,p1,1.00E+30,1,0
d32,land0032,p1,1.00E+30,1,0
d33,land0033,p1,1.00E+30,1,0
d34,land0034,p1,1.00E+30,1,0
d35,land0035,p1,1.00E+30,1,0
d36,land0036,p1,1.00E+30,1,0
d37,land0037,p1,1.00E+30,1,0
d38,land0038,p1,1.00E+30,1,0
d39,land0039,p1,1.00E+30,1,0
d40,land0040,p1,1.00E+30,1,0
d41,land0041,p1,1.00E+30,1,0
d42,land0042,p1,1.00E+30,1,0
d43,land0043,p1,1.00E+30,1,0
d44,land0044,p1,1.00E+30,1,0
d45,land0045,p1,1.00E+30,1,0
d46,land0046,p1,1.00E+30,1,0
d47,land0047,p1,1.00E+30,1,0
d48,land0048,p1,1.00E+30,1,0
d49,land0049,p1,1.00E+30,1,0
d50,land0050,p1,1.00E+30,1,0
d51,land0051,p1,1.00E+30,1,0
d52,land0052,p1,1.00E+30,1,0
d53,land0053,p1,1.00E+30,1,0
d54,land0054,p1,1.00E+30,1,0
d55,land0055,p1,1.00E+30,1,0
d56,land0056,p1,1.00E+30,1,0
d57,land0057,p1,1.00E+30,1,0
d58,land0058,p1,1.00E+30,1,0
d59,land0059,p1,1.00E+30,1,0
d60,land0060,p1,1.00E+30,1,0
